Flag,Sample,Longitude,Latitude,d2H C27,d2H C29,d2H C31,Replicates,"SE(d2H, C29)",Type,Record No.,Group,Drainage,Reported Elev (m),Source
,NL-9,88.595,29.1517,,-211,-238,2.0003322232020495,2.4746682071387207,soil,137,Himalaya,Brahmaputra,4040,"Bai et al. 2015 Geochimica et Cosmochimica Acta
Volume 170, 1 December 2015, Pages 94-158"
,NL-10,87.2478,28.7722,,-240,-236,2.0003322232020495,2.4746682071387207,soil,138,Himalaya,Brahmaputra,4545,"Bai et al. 2015 Geochimica et Cosmochimica Acta
Volume 170, 1 December 2015, Pages 94-159"
,NL-11,86.1672,28.5164,,-218,-240,2.0003322232020495,2.4746682071387207,soil,139,Himalaya,Brahmaputra,5145,"Bai et al. 2015 Geochimica et Cosmochimica Acta
Volume 170, 1 December 2015, Pages 94-160"
,NL-13,86.1481,28.4889,,-239,-261,2.0003322232020495,2.4746682071387207,soil,140,Himalaya,Brahmaputra,4852,"Bai et al. 2015 Geochimica et Cosmochimica Acta
Volume 170, 1 December 2015, Pages 94-161"
,NL-14,86.1572,28.485,,-224,-255,2.0003322232020495,2.4746682071387207,soil,141,Himalaya,Brahmaputra,4758,"Bai et al. 2015 Geochimica et Cosmochimica Acta
Volume 170, 1 December 2015, Pages 94-162"
,NL-15,86.1639,28.4756,,-216,-237,2.0003322232020495,2.4746682071387207,soil,142,Himalaya,Brahmaputra,4658,"Bai et al. 2015 Geochimica et Cosmochimica Acta
Volume 170, 1 December 2015, Pages 94-163"
,NL-16,86.1561,28.4386,,-228,-266,2.0003322232020495,2.4746682071387207,soil,143,Himalaya,Brahmaputra,4497,"Bai et al. 2015 Geochimica et Cosmochimica Acta
Volume 170, 1 December 2015, Pages 94-164"
,NL-18,86.0983,28.3675,,-217,-238,2.0003322232020495,2.4746682071387207,soil,144,Himalaya,Brahmaputra,4340,"Bai et al. 2015 Geochimica et Cosmochimica Acta
Volume 170, 1 December 2015, Pages 94-165"
,NL-19,86.0367,28.3028,,-226,-240,2.0003322232020495,2.4746682071387207,soil,145,Himalaya,Brahmaputra,4150,"Bai et al. 2015 Geochimica et Cosmochimica Acta
Volume 170, 1 December 2015, Pages 94-166"
,NL-20,86.0011,28.22,,-197,-226,2.0003322232020495,2.4746682071387207,soil,146,Himalaya,Brahmaputra,3920,"Bai et al. 2015 Geochimica et Cosmochimica Acta
Volume 170, 1 December 2015, Pages 94-167"
,NL-21,85.9847,28.1778,,-199,-203,2.0003322232020495,2.4746682071387207,soil,147,Himalaya,Brahmaputra,3820,"Bai et al. 2015 Geochimica et Cosmochimica Acta
Volume 170, 1 December 2015, Pages 94-168"
,NL-22,85.9831,28.1431,,-210,-219,2.0003322232020495,2.4746682071387207,soil,148,Himalaya,Brahmaputra,3795,"Bai et al. 2015 Geochimica et Cosmochimica Acta
Volume 170, 1 December 2015, Pages 94-169"
,NL-24,85.9889,28.1256,,-210,-209,2.0003322232020495,2.4746682071387207,soil,149,Himalaya,Brahmaputra,3607,"Bai et al. 2015 Geochimica et Cosmochimica Acta
Volume 170, 1 December 2015, Pages 94-170"
,NL-25,86.0008,28.0881,,-216,-242,2.0003322232020495,2.4746682071387207,soil,150,Himalaya,Brahmaputra,3360,"Bai et al. 2015 Geochimica et Cosmochimica Acta
Volume 170, 1 December 2015, Pages 94-171"
,NL-26,86.0025,28.0653,,-219,-227,2.0003322232020495,2.4746682071387207,soil,151,Himalaya,Brahmaputra,3280,"Bai et al. 2015 Geochimica et Cosmochimica Acta
Volume 170, 1 December 2015, Pages 94-172"
,NL-27,85.9892,28.0378,,-214,-208,2.0003322232020495,2.4746682071387207,soil,152,Himalaya,Brahmaputra,3090,"Bai et al. 2015 Geochimica et Cosmochimica Acta
Volume 170, 1 December 2015, Pages 94-173"
,NL-28,85.9881,28.0403,,-211,-208,2.0003322232020495,2.4746682071387207,soil,153,Himalaya,Brahmaputra,2920,"Bai et al. 2015 Geochimica et Cosmochimica Acta
Volume 170, 1 December 2015, Pages 94-174"
,NL-29,85.9853,28.0294,,-193,-187,2.0003322232020495,2.4746682071387207,soil,154,Himalaya,Brahmaputra,2800,"Bai et al. 2015 Geochimica et Cosmochimica Acta
Volume 170, 1 December 2015, Pages 94-175"
,NL-31,85.9775,28.0042,,-190,-191,2.0003322232020495,2.4746682071387207,soil,155,Himalaya,Brahmaputra,2570,"Bai et al. 2015 Geochimica et Cosmochimica Acta
Volume 170, 1 December 2015, Pages 94-176"
,NL-33,85.9819,27.9942,,-205,-204,2.0003322232020495,2.4746682071387207,soil,156,Himalaya,Brahmaputra,2330,"Bai et al. 2015 Geochimica et Cosmochimica Acta
Volume 170, 1 December 2015, Pages 94-177"
,NL-34,85.9686,27.9831,,-183,-188,2.0003322232020495,2.4746682071387207,soil,157,Himalaya,Brahmaputra,2210,"Bai et al. 2015 Geochimica et Cosmochimica Acta
Volume 170, 1 December 2015, Pages 94-178"
,NL-35,85.9761,27.9747,,-189,-178,2.0003322232020495,2.4746682071387207,soil,158,Himalaya,Brahmaputra,2130,"Bai et al. 2015 Geochimica et Cosmochimica Acta
Volume 170, 1 December 2015, Pages 94-179"
,NL-36,85.9764,27.9767,,-156,-148,2.0003322232020495,2.4746682071387207,soil,159,Himalaya,Brahmaputra,2060,"Bai et al. 2015 Geochimica et Cosmochimica Acta
Volume 170, 1 December 2015, Pages 94-180"
,NL-37,85.9669,27.9656,,-190,-178,2.0003322232020495,2.4746682071387207,soil,160,Himalaya,Brahmaputra,1960,"Bai et al. 2015 Geochimica et Cosmochimica Acta
Volume 170, 1 December 2015, Pages 94-181"
,NL-38,85.9717,27.9744,,-166,-174,2.0003322232020495,2.4746682071387207,soil,161,Himalaya,Brahmaputra,1850,"Bai et al. 2015 Geochimica et Cosmochimica Acta
Volume 170, 1 December 2015, Pages 94-182"
,NL-39,85.9653,27.9664,,-174,-176,2.0003322232020495,2.4746682071387207,soil,162,Himalaya,Brahmaputra,1770,"Bai et al. 2015 Geochimica et Cosmochimica Acta
Volume 170, 1 December 2015, Pages 94-183"
,NL-40,85.9625,27.6314,,-161,-148,2.0003322232020495,2.4746682071387207,soil,163,Himalaya,Brahmaputra,1660,"Bai et al. 2015 Geochimica et Cosmochimica Acta
Volume 170, 1 December 2015, Pages 94-184"
,NL-41,85.9792,27.9658,,-162,-155,2.0003322232020495,2.4746682071387207,soil,164,Himalaya,Brahmaputra,1690,"Bai et al. 2015 Geochimica et Cosmochimica Acta
Volume 170, 1 December 2015, Pages 94-185"
,TR-1301,95.194417,33.119111,-201.2042115629823,-208.34014625617195,-214.73552531735766,2.0003322232020495,2.4746682071387207,soil,165,Yunnan,Mekong,4145.5,Wang et al. 2017
,TR-1302,95.139417,32.732306,-253.30243199999998,-234.0022101,-235.82483309999998,2.0003322232020495,2.4746682071387207,soil,166,Yunnan,Mekong,4154,Wang et al. 2017
,TR-1303,95.42675,32.419278,-223.95144378170295,-234.29061599999997,-243.45675539999996,2.0003322232020495,2.4746682071387207,soil,167,Yunnan,Mekong,3970,Wang et al. 2017
,TR-1304,95.956167,32.337194,-244.2957622,-240.5586319,-232.4939017,2.0003322232020495,2.4746682071387207,soil,168,Yunnan,Mekong,4226,Wang et al. 2017
,TR-1306,96.408472,31.448472,-240.50856389999998,-239.5664579,-249.90387599999997,2.0003322232020495,2.4746682071387207,soil,169,Yunnan,Mekong,3969.4,Wang et al. 2017
,TR-1308,97.435833,30.682583,-233.9509959,-219.0998821,-234.78146930000003,2.0003322232020495,2.4746682071387207,soil,170,Yunnan,Mekong,3060,Wang et al. 2017
% Outside of study area,TR-1309,97.652389,29.879528,-243.8785171,-246.69881279999998,-242.7819307,2.0003322232020495,2.4746682071387207,soil,171,Himalaya,Brahmaputra,3818,Wang et al. 2017
% Outside of study area,TR-1310,98.678028,29.37175,-227.45456168198575,-220.60170645338616,-215.4687765541413,2.0003322232020495,2.4746682071387207,soil,172,Yunnan,Yangtze,3589.5,Wang et al. 2017
% Outside of study area,TR-1311,99.278222,28.239528,-227.45456168198575,-220.60170645338616,-215.4687765541413,2.0003322232020495,2.4746682071387207,soil,173,Yunnan,Yangtze,2247.6,Wang et al. 2017
% Outside of study area,TR-1312,100.025806,27.223472,-206.6438626937014,-203.98210310447692,-199.44270351029922,2.0003322232020495,2.4746682071387207,soil,174,Yunnan,Yangtze,1970.6,Wang et al. 2017
% Outside of study area,JD-13-10A,98.034944,31.330972,-222.9846298,-240.3387121,-249.0029497,2.0003322232020495,2.4746682071387207,soil,175,Yunnan,Yangtze,4147,Wang et al. 2017
% Outside of study area,JD-13-17A,97.741056,31.806583,-209.64351287498764,-202.1145687172162,-209.35602697744343,2.0003322232020495,2.4746682071387207,soil,176,Yunnan,Mekong,3978,Wang et al. 2017
% Outside of study area,DEQ-13-01,98.869416,28.455253,-215.6402488,-230.8413292,II,2.0003322232020495,2.4746682071387207,soil,177,Yunnan,Mekong,3300,Wang et al. 2017
% Outside of study area,DEQ-13-02,98.427243,28.442784,-237.64216419999997,-243.4573989,-236.96627969999997,2.0003322232020495,2.4746682071387207,soil,178,Himalaya,Brahmaputra,3516,Wang et al. 2017
% Outside of study area,DEQ-13-03,98.963267,28.416856,-232.8353297,-240.2568698,-238.59993980000002,2.0003322232020495,2.4746682071387207,soil,179,Yunnan,Mekong,3750,Wang et al. 2017
% Outside of study area,XIS-13-01,100.527905,22.19287,-201.1066265,-209.77036200000003,-196.84379750000002,2.0003322232020495,2.4746682071387207,soil,180,Yunnan,Mekong,1400,Wang et al. 2017
% Outside of study area,XIS-13-02,101.270996,22.341296,-205.3051867,-212.5640464,-193.2618161,2.0003322232020495,2.4746682071387207,soil,181,Yunnan,Mekong,931,Wang et al. 2017
% Outside of study area,XIS-13-03,101.32093,22.71668,-195.7271271,-188.21169429999998,-185.9502359,2.0003322232020495,2.4746682071387207,soil,182,Yunnan,Mekong,956,Wang et al. 2017
% Outside of study area,CH-11-03,101.2959,27.4581,-170.23395557359999,-181.00941564368003,,1.0001661116010245,3.499709340909091,soil,183,Yunnan,Yangtze,2754,Wang et al. 2017
% Outside of study area,CH-11-04,101.334,27.4987,-174.79274261749003,-194.73995024329,-184.50689505787,2.0003322232020495,2.4746682071387207,soil,184,Yunnan,Yangtze,2233,Wang et al. 2017
% Outside of study area,CH-11-06,100.9693,27.64441333,-182.5,-185.5,-192,3.0004983348030736,2.0205581300593116,soil,185,Yunnan,Yangtze,2362,Wang et al. 2017
% Outside of study area,CH-11-07,100.7687,27.7433,-171.53373377286002,-205.3473264303267,-170,3.0004983348030736,2.0205581300593116,soil,186,Yunnan,Yangtze,2764,Wang et al. 2017
% Outside of study area,CH-11-08,100.8164,27.6323,-190,-191,,2.0003322232020495,2.4746682071387207,soil,187,Yunnan,Yangtze,3340,Wang et al. 2017
% Outside of study area,CH-11-09,100.8425,27.399,-148.72231943286,-169.21904273908,-185.04840374416,2.0003322232020495,2.4746682071387207,soil,188,Yunnan,Yangtze,2538,Wang et al. 2017
% Outside of study area,CH-11-10,100.6678,27.1409,-201.17073853242002,-215.01118251432,-199.94670773478003,1.0001661116010245,3.499709340909091,soil,189,Yunnan,Yangtze,3075,Wang et al. 2017
% Outside of study area,CH-11-11,100.0371,26.8637,-149.9722604,-188.5104438,-197.7581216,1.0001661116010245,3.499709340909091,soil,190,Yunnan,Yangtze,2500,Wang et al. 2017
% Outside of study area,CH-11-12,100.0011,26.882,-202.6531790051954,-195.7155728,-202.71336680000002,2.0003322232020495,2.4746682071387207,soil,191,Yunnan,Yangtze,1881,Wang et al. 2017
"% Missing lon, lat",CH-11-14,-,-,-167.0746176415,-178.47334192627,-184.11939128677,2.0003322232020495,2.4746682071387207,soil,192,,X,2600,Wang et al. 2017
% Outside of study area,CH-11-15,99.5562,27.073,-177.97383061278106,-190.17149999999998,-195.184,2.0003322232020495,2.4746682071387207,soil,193,Yunnan,Yangtze,2549,Wang et al. 2017
% Outside of study area,CH-11-16,99.932,26.667,-158.78187148688002,-167.98344711007996,-172.96056450416,1.0001661116010245,3.499709340909091,soil,194,Yunnan,Mekong,2459,Wang et al. 2017
% Outside of study area,CH-11-17,99.8465,26.595,-178.39980903823997,-183.32450514992001,,1.0001661116010245,3.499709340909091,soil,195,Yunnan,Mekong,2463,Wang et al. 2017
% Outside of study area,CH-11-18,99.7771,26.524,-162,-166,-168,2.0003322232020495,2.4746682071387207,soil,196,Yunnan,Mekong,2357,Wang et al. 2017
% Outside of study area,CH-11-19,99.6988,26.486,-209.37582557367455,-212.8235,-216.69799999999998,2.0003322232020495,2.4746682071387207,soil,197,Yunnan,Mekong,2635,Wang et al. 2017
% Outside of study area,CH-11-20,99.3351,25.937,-174,-172,-177,1.0001661116010245,3.499709340909091,soil,198,Yunnan,Mekong,1745,Wang et al. 2017
% Outside of study area,CH-11-21,100.0586,25.597,-146.99115154064,-160.82847641696,-163.43948921839998,1.0001661116010245,3.499709340909091,soil,199,Yunnan,Mekong,1265,Wang et al. 2017
,,,,,,,,,,,,,,
