source,compilation,location,latitude,longitude,elevation,d2H_precip,d2H_precip_err,d2H_precip_year,chain,d2H_wax,d2H_wax_err
"Bai et al., 2014",Liu,Mt Qilian,39.34,97.79,3754,-64,,,29,-169,
"Bai et al., 2014",Liu,Mt Qilian,37.53,101.83,3790,-71,,,29,-163,
"Bai et al., 2014",Liu,Mt Qilian,37.53,101.83,3835,-71,,,29,-158,
"Bai et al., 2014",Liu,Mt Qilian,37.53,101.83,3869,-71,,,29,-163,
"Bai et al., 2014",Liu,Mt Qilian,39.33,97.74,3874,-64,,,29,-166,
"Bai et al., 2014",Liu,Mt Qilian,39.31,97.72,3945,-64,,,29,-161,
"Bai et al., 2014",Liu,Mt Qilian,39.34,97.79,4005,-64,,,29,-166,
"Bai et al., 2014",Liu,Mt Qilian,39.33,97.74,4040,-64,,,29,-168,
"Chikaraishi and Naraoka, 2006",Liu,Gunma Prefecture,36.47,138.87,70,-60,,,29,-166,
"Chikaraishi and Naraoka, 2006",Liu,Gunma Prefecture,36.47,138.87,70,-60,,,29,-168,
"Chikaraishi and Naraoka, 2006",Liu,Gunma Prefecture,36.47,138.87,70,-60,,,29,-167,
Daniels et al 2017,McFarlin,N1,68.64,-149.6,730,-149,6,2018,29,-255,
Daniels et al 2017,McFarlin,N2,68.64,-149.62,732,-149,6,2018,29,-253,
Daniels et al 2017,McFarlin,S6,68.63,-149.64,736,-150,6,2018,29,-261,
Daniels et al 2017,McFarlin,ISWAMP,68.61,-149.6,741,-150,6,2018,29,-273,
Daniels et al 2017,McFarlin,S7,68.63,-149.64,742,-150,6,2018,29,-261,
Daniels et al 2017,McFarlin,I7,68.6,-149.59,748,-150,6,2018,29,-269,
Daniels et al 2017,McFarlin,I8,68.61,-149.58,748,-150,6,2018,29,-260,
Daniels et al 2017,McFarlin,FOG4,68.68,-149.07,760,-151,6,2018,29,-264,
Daniels et al 2017,McFarlin,FOG1,68.68,-149.08,773,-151,6,2018,29,-257,
Daniels et al 2017,McFarlin,FOG2,68.68,-149.09,776,-151,6,2018,29,-259,
Daniels et al 2017,McFarlin,E1,68.63,-149.55,777,-150,6,2018,29,-259,
Daniels et al 2017,McFarlin,I3,68.58,-149.58,778,-151,6,2018,29,-265,
Daniels et al 2017,McFarlin,I4,68.58,-149.58,778,-151,6,2018,29,-264,
Daniels et al 2017,McFarlin,I5,68.59,-149.59,778,-151,6,2018,29,-268,
Daniels et al 2017,McFarlin,I1,68.57,-149.59,792.5,-151,6,2018,29,-260,
Daniels et al 2017,McFarlin,E6,68.64,-149.44,794,-151,6,2018,29,-266,
Daniels et al 2017,McFarlin,I6,68.6,-149.59,800,-151,6,2018,29,-265,
Daniels et al 2017,McFarlin,E5,68.64,-149.46,800,-151,7,2018,29,-261,
Daniels et al 2017,McFarlin,I6HW,68.58,-149.62,808,-151,6,2018,29,-263,
Douglas et al 2012,McFarlin,El Golfete,15.72,-88.89,0,-24,4,2018,29,-151.1,1
Douglas et al 2012,McFarlin,Izabal Rio Oscuro,15.38,-89.33,4,-25,4,2018,29,-154,1
Douglas et al 2012,McFarlin,Izabal Centro,15.52,-89.15,4,-24,4,2018,29,-165.2,
Douglas et al 2012,McFarlin,Dzitya,21.07,-89.69,5,-18,4,2018,29,-128.5,1
Douglas et al 2012,McFarlin,Yaalchak [e],20.6,-89.71,6,-20,7,2018,29,-142.9,1
Douglas et al 2012,McFarlin,Chichancanab,19.88,-88.77,10,-20,8,2018,29,-128.5,2
Douglas et al 2012,McFarlin,Ticul,20.35,-89.5,10,-20,8,2018,29,-143,1
Douglas et al 2012,McFarlin,Chumayel,20.49,-89.19,13,-18,6,2018,29,-110.7,1
Douglas et al 2012,McFarlin,Canana,20.49,-89.17,13,-18,5,2018,29,-137.7,1
Douglas et al 2012,McFarlin,Xoche [e],20.66,-89.37,16,-18,5,2018,29,-153,1
Douglas et al 2012,McFarlin,Hobonil,20,-89.03,44,-21,8,2018,29,-126.5,1
Douglas et al 2012,McFarlin,Cepeda Peraza,20.16,-89.24,50,-21,8,2018,29,-136.7,1
Douglas et al 2012,McFarlin,La Barca,15.12,-87.94,56,-24,4,2018,29,-155.3,1
Douglas et al 2012,McFarlin,Puente Cienega,15.74,-89.07,75,-25,4,2018,29,-155,2
Douglas et al 2012,McFarlin,Naco,15.41,-88.14,97,-25,4,2018,29,-148.3,1
Douglas et al 2012,McFarlin,Salpeten,16.98,-89.68,105,-25,7,2018,29,-144,1
Douglas et al 2012,McFarlin,Peten Itza,16.93,-89.89,109,-25,7,2018,29,-159.5,4
Douglas et al 2012,McFarlin,Cuerpo Uno [e],17.49,-90.39,115,-26,8,2018,29,-147.9,1
Douglas et al 2012,McFarlin,Sacpuy,16.99,-90.05,123,-26,7,2018,29,-144.2,1
Douglas et al 2012,McFarlin,Yaxha,17.07,-89.41,130,-25,7,2018,29,-142.9,3
Douglas et al 2012,McFarlin,Quexil,16.92,-89.82,133,-26,6,2018,29,-141.7,1
Douglas et al 2012,McFarlin,La Corona [e],17.52,-90.37,151,-26,8,2018,29,-148,1
Douglas et al 2012,McFarlin,El Juleque,16.91,-89.77,158,-26,6,2018,29,-137.6,1
Douglas et al 2012,McFarlin,Macanche,16.97,-89.64,169,-26,7,2018,29,-139.2,3
Douglas et al 2012,McFarlin,La Entrada,15.1,-88.71,426,-31,2,2018,29,-147.9,2
Douglas et al 2012,McFarlin,Taulabe,14.71,-87.97,557,-32,2,2018,29,-152.7,2
Douglas et al 2012,McFarlin,Comayagua,14.45,-87.65,563,-32,2,2018,29,-166.8,1
Douglas et al 2012,McFarlin,Copan,14.84,-89.15,613,-34,1,2018,29,-156.4,1
Douglas et al 2012,McFarlin,Pena Blanca,14.94,-88.03,655,-33,1,2018,29,-160,1
Douglas et al 2012,McFarlin,Rio Blanco,14.89,-89.03,707,-36,1,2018,29,-160.5,1
Douglas et al 2012,McFarlin,Rio Jalan,14.45,-86.81,765,-33,2,2018,29,-157.9,2
Douglas et al 2012,McFarlin,Gaungolo,14.26,-87.24,829,-35,1,2018,29,-165.8,1
Douglas et al 2012,McFarlin,Rio Rosario,14.48,-86.98,891,-36,2,2018,29,-153.7,2
Douglas et al 2012,McFarlin,El Chile,14.35,-86.85,1380,-43,4,2018,29,-158.1,4
Douglas et al 2012,McFarlin,Santa Lucia,14.12,-87.09,1405,-43,3,2018,29,-135.1,1
Duan et al 2011,McFarlin,Lake Qinghai,37,100,3193,-53,5,2018,29,-157,8.8
"Feng et al., 2019",Ladd,JS13,26.4786,100.4194,1246,-73.08368901,,,29,-202,
"Feng et al., 2019",Ladd,JS12,26.5017,100.4082,1309,-73.94167809,,,29,-169,
"Feng et al., 2019",Ladd,JS8,26.487,100.371,1701,-75.34407937,,,29,-204,
"Feng et al., 2019",Ladd,JS7,26.489,100.353,1794,-76.81151062,,,29,-177,
"Feng et al., 2019",Ladd,JS6,26.486,100.348,1906,-77.04747416,,,29,-166,
"Feng et al., 2019",Ladd,JS5,26.485,100.345,2000,-77.21626809,,,29,-177,
"Feng et al., 2019",Ladd,JS4,26.489,100.346,2092,-77.36349671,,,29,-185,
"Feng et al., 2019",Ladd,JS3,26.485,100.338,2190,-77.73325233,,,29,-197,
"Feng et al., 2019",Ladd,JH1,26.54,99.958,2263,-82.67067436,,,29,-205,
"Feng et al., 2019",Ladd,JS2,26.487,100.323,2290,-79.00912049,,,29,-203,
"Feng et al., 2019",Ladd,LJ1,26.63,99.915,2305,-83.51214892,,,29,-197,
"Feng et al., 2019",Ladd,JH2,26.549,99.961,2319,-82.88445762,,,29,-198,
"Feng et al., 2019",Ladd,JS1,26.494,100.312,2386,-80.53343762,,,29,-204,
"Feng et al., 2019",Ladd,LJ2,26.639,99.879,2400,-84.87555156,,,29,-211,
