source,compilation,location,latitude,longitude,elevation,d2H_precip,d2H_precip_err,d2H_precip_year,chain,d2H_wax,d2H_wax_err
"Jaeschke et al., 2018",Ladd,II-Cropland,7.4527,36.8704,2545,-1.059381222,,,29,-133,
"Jaeschke et al., 2018",Ladd,II-Grassland,7.4527,36.8704,2545,-1.059381222,,,29,-135,
"Jaeschke et al., 2018",Ladd,I-Forest,7.4452,36.8768,2650,-0.422700005,,,29,-130,
"Jaeschke et al., 2018",Ladd,I-Grassland,7.4452,36.8768,2650,-0.422700005,,,29,-129,
"Jaeschke et al., 2018",Ladd,I-Cropland,7.4452,36.8768,2650,-0.422700005,,,29,-131,
"Jia et al., 2008",Liu,Mt Gongga,30,102,1180,-56,,,29,-178,
"Jia et al., 2008",Liu,Mt Gongga,30,102,1220,-57,,,29,-195,
"Jia et al., 2008",Liu,Mt Gongga,30,102,1320,-58,,,29,-180,
"Jia et al., 2008",Liu,Mt Gongga,30,102,1375,-59,,,29,-169,
"Jia et al., 2008",Liu,Mt Gongga,30,102,1440,-60,,,29,-195,
"Jia et al., 2008",Liu,Mt Gongga,30,102,1470,-60,,,29,-184,
"Jia et al., 2008",Liu,Mt Gongga,30,102,1515,-60,,,29,-178,
"Jia et al., 2008",Liu,Mt Gongga,30,102,1550,-61,,,29,-183,
"Jia et al., 2008",Liu,Mt Gongga,30,102,1610,-62,,,29,-192,
"Jia et al., 2008",Liu,Mt Gongga,30,102,1645,-62,,,29,-181,
"Jia et al., 2008",Liu,Mt Gongga,30,102,1700,-63,,,29,-193,
"Jia et al., 2008",Liu,Mt Gongga,30,102,1740,-63,,,29,-178,
"Jia et al., 2008",Liu,Mt Gongga,30,102,1800,-64,,,29,-202,
"Jia et al., 2008",Liu,Mt Gongga,30,102,1850,-65,,,29,-195,
"Jia et al., 2008",Liu,Mt Gongga,30,102,1915,-66,,,29,-188,
"Jia et al., 2008",Liu,Mt Gongga,30,102,1973,-66,,,29,-201,
"Jia et al., 2008",Liu,Mt Gongga,30,102,2005,-67,,,29,-199,
"Jia et al., 2008",Liu,Mt Gongga,30,102,2085,-68,,,29,-206,
"Jia et al., 2008",Liu,Mt Gongga,30,102,2115,-68,,,29,-185,
"Jia et al., 2008",Liu,Mt Gongga,30,102,2160,-69,,,29,-214,
"Jia et al., 2008",Liu,Mt Gongga,30,102,2220,-70,,,29,-203,
"Jia et al., 2008",Liu,Mt Gongga,30,102,2300,-71,,,29,-195,
"Jia et al., 2008",Liu,Mt Gongga,30,102,2350,-72,,,29,-189,
"Jia et al., 2008",Liu,Mt Gongga,30,102,2420,-73,,,29,-197,
"Jia et al., 2008",Liu,Mt Gongga,30,102,2540,-75,,,29,-200,
"Jia et al., 2008",Liu,Mt Gongga,30,102,2540,-75,,,29,-200,
"Jia et al., 2008",Liu,Mt Gongga,30,102,2620,-76,,,29,-199,
"Jia et al., 2008",Liu,Mt Gongga,30,102,2620,-76,,,29,-199,
"Jia et al., 2008",Liu,Mt Gongga,30,102,2742,-78,,,29,-206,
"Jia et al., 2008",Liu,Mt Gongga,30,102,2742,-78,,,29,-206,
"Jia et al., 2008",Liu,Mt Gongga,30,102,2764,-78,,,29,-207,
"Jia et al., 2008",Liu,Mt Gongga,30,102,2808,-79,,,29,-193,
"Jia et al., 2008",Liu,Mt Gongga,30,102,2846,-79,,,29,-196,
"Jia et al., 2008",Liu,Mt Gongga,30,102,2920,-81,,,29,-197,
"Jia et al., 2008",Liu,Mt Gongga,30,102,2960,-81,,,29,-198,
"Jia et al., 2008",Liu,Mt Gongga,30,102,3015,-82,,,29,-196,
"Jia et al., 2008",Liu,Mt Gongga,30,102,3049,-83,,,29,-207,
"Jia et al., 2008",Liu,Mt Gongga,30,102,3065,-83,,,29,-207,
"Jia et al., 2008",Liu,Mt Gongga,30,102,3119,-84,,,29,-207,
"Jia et al., 2008",Liu,Mt Gongga,30,102,3145,-85,,,29,-195,
"Jia et al., 2008",Liu,Mt Gongga,30,102,3188,-85,,,29,-220,
"Jia et al., 2008",Liu,Mt Gongga,30,102,3209,-86,,,29,-200,
"Jia et al., 2008",Liu,Mt Gongga,30,102,3518,-92,,,29,-224,
"Jia et al., 2008",Liu,Mt Gongga,30,102,3596,-93,,,29,-219,
"Jia et al., 2008",Liu,Mt Gongga,30,102,3676,-95,,,29,-241,
"Jia et al., 2008",Liu,Mt Gongga,30,102,3767,-97,,,29,-237,
"Jia et al., 2008",Liu,Mt Gongga,30,102,3819,-98,,,29,-240,
"Krull et al., 2006",Liu,Queensland,-23.22,143.95,191,-23,,,29,,
"Krull et al., 2006",Liu,Queensland,-23.22,143.95,191,-23,,,29,-88,
"Krull et al., 2006",Liu,Queensland,-23.22,143.95,191,-23,,,29,,
"Ladd et al., SPCZ in prep",Ladd,"Lake Hut, Grande Terre, New Caledonia",-22.2609,166.9526,,-17.27508758,,,29,-160.9349123,
"Ladd et al., SPCZ in prep",Ladd,"Emaotul Lake, Efate, Vanuatu",-17.7342,168.4151,,,,,29,-152.1114336,
"Ladd et al., SPCZ in prep",Ladd,"Otas Lake, Efate, Vanuatu",-17.6945,168.585,,,,,29,-153.905817,
"Ladd et al., SPCZ in prep",Ladd,"Lake Dranoniveilomo, Vanua Balavu, Fiji",-17.1976,-178.9559,,,,,29,-150.7738408,
"Ladd et al., SPCZ in prep",Ladd,"Rimatu'u Pond, Tetiaroa, French Polynesia",-17.0249,-149.5583,,,,,29,-177.1739601,
"Ladd et al., SPCZ in prep",Ladd,"Onetahi Pond, Tetiaroa, French Polynesia",-17.0207,-149.5919,,,,,29,-138.5723108,
"Ladd et al., SPCZ in prep",Ladd,"Oroatera Pond, Tetiaroa, French Polynesia",-16.9958,-149.5409,,,,,29,-173.4873843,
"Ladd et al., SPCZ in prep",Ladd,"Lake Tagamaucia, Teveuni, Fiji",-16.8163,-179.9399,,-27.55525576,,,29,-170.0839323,
"Ladd et al., SPCZ in prep",Ladd,"Nopovois Pond, Espiritu Santo, Vanuatu",-15.497,166.7357,,-22.99123572,,,29,-154,
"Ladd et al., SPCZ in prep",Ladd,"Vesalea Pond, Espiritu Santo, Vanuatu",-15.1589,166.6549,,-22.50132045,,,29,-157,
"Ladd et al., SPCZ in prep",Ladd,"White Lake, Thion, Vanuatu",-15.041,167.0892,,-21.3855943,,,29,-173.9224813,
"Ladd et al., SPCZ in prep",Ladd,"Lake Lanoto'o, Upolu, Samoa",-13.9109,-171.8274,,,,,29,-159.1378214,
"Ladd et al., SPCZ in prep",Ladd,"Lake Tavara, Tetepare, Solomon Islands",-8.7029,157.4503,,,,,29,-162.4586096,
"Ladd, Maloney et al (UW)",Ladd,PoSap,6.88,158.3,0,-34.48175753,,,29,-150,
"Ladd, Maloney et al (UW)",Ladd,ChuTol,7.35,151.604,0,,,,29,-153,
"Ladd, Maloney et al (UW)",Ladd,YapGal,9.49,138.088,0,,,,29,-151,
"Ladd, Maloney et al (UW)",Ladd,GuSasa,13.44,144.683,0,-29.34673356,,,29,-145,
Leider et al 2013,McFarlin,Lago Aimini Grande,40.2,18.45,0,-36,2,2018,29,-159,2.6
Leider et al 2013,McFarlin,Lago di Bomba,42.01,14.36,269,-38,1,2018,29,-156,3.9
Leider et al 2013,McFarlin,Lago di Monticchio,40.93,15.6,659,-48,1,2018,29,-170,0.7
"Leider et al., 2013",Liu,Porto Cesareo,40.24,17.91,0,-33,,,29,-134,
"Leider et al., 2013",Liu,Cervaro river,41.57,15.89,0,-35,,,29,-175,
"Leider et al., 2013",Liu,Manfredonia Lido,41.62,15.9,0,-35,,,29,-159,
"Leider et al., 2013",Liu,Potenza river,43.42,13.65,0,-39,,,29,-164,
"Leider et al., 2013",Liu,Po di Goro,44.84,12.34,0,-43,,,29,-182,
"Leider et al., 2013",Liu,Po della Donzella,44.84,12.38,0,-43,,,29,-170,
"Leider et al., 2013",Liu,Reno river,44.55,12.14,2,-42,,,29,-172,
"Leider et al., 2013",Liu,Vomano river,42.65,13.99,15,-38,,,29,-152,
"Leider et al., 2013",Liu,Foflia river,43.87,12.81,25,-41,,,29,-167,
"Li et al., 2019",Ladd,S10,26.81,112.58,80,-32.65942573,,,29,-169.017,
"Li et al., 2019",Ladd,S6,24.6,113.65,137,-45.91662253,,,29,-170.322,
"Li et al., 2019",Ladd,S5,24.28,113.55,164,-47.08838428,,,29,-168.956,
"Li et al., 2019",Ladd,S11,27.11,112.1,165,-34.89353581,,,29,-164.676,
"Li et al., 2019",Ladd,S8,25.29,112.99,186,-42.33824987,,,29,-170.322,
"Li et al., 2019",Ladd,S1,22.57,114.23,197,-43.19637707,,,29,-173.54,
"Li et al., 2019",Ladd,XY,34.94,113.38,222,-52.57658507,,,29,-169.1,
"Li et al., 2019",Ladd,S9,25.64,113.04,280,-43.63132719,,,29,-170.62,
"Li et al., 2019",Ladd,S7,25.1,113.52,302,-45.1583678,,,29,-170.628,
"Li et al., 2019",Ladd,JYX,35.05,112.46,367,-54.63813107,,,29,-170.4,
"Li et al., 2019",Ladd,S3,23.3,113.46,451,-43.93505445,,,29,-169.91,
"Li et al., 2019",Ladd,XF,35.84,111.44,455,-57.08910904,,,29,-175.3,
"Li et al., 2019",Ladd,S4,23.63,113.87,531,-51.0302718,,,29,-170.991,
"Li et al., 2019",Ladd,X'A,34.3,108.61,588,-52.01051603,,,29,-172.9,
"Li et al., 2019",Ladd,S2,23.27,114.03,600,-45.72623261,,,29,-179.348,
"Li et al., 2019",Ladd,N02,35.89485,108.97625,622,-65.70227258,,,29,-170.776,
"Li et al., 2019",Ladd,SE01,27.88,117.74,749,-62.07799197,,,29,-191.955,
"Li et al., 2019",Ladd,HLS,36,110.15,897,-65.07269539,,,29,-195.7,
"Li et al., 2019",Ladd,S13,31.3,110.38,900,-64.53586429,,,29,-174.048,
"Li et al., 2019",Ladd,CZ,36.2,113.28,1028,-66.86627971,,,29,-170.6,
"Li et al., 2019",Ladd,SEQ,40.59,110.44,1068,-55.78645038,,,29,-163.2,
"Li et al., 2019",Ladd,N03,36.57676667,109.4143667,1077,-63.75345383,,,29,-173.863,
"Li et al., 2019",Ladd,DK,40.8,107.5,1078,-51.08561927,,,29,-148.5,
"Li et al., 2019",Ladd,N01,35.87908333,109.4126667,1106,-63.78562589,,,29,-191.199,
"Li et al., 2019",Ladd,N05,38.37526667,109.69765,1117,-57.57441247,,,29,-162.4,
"Li et al., 2019",Ladd,ALS,40.3,107.6,1142,-51.18082291,,,29,-160.1,
"Li et al., 2019",Ladd,ZWL,36.09,107.6,1148,-66.48662756,,,29,-160,
"Li et al., 2019",Ladd,N07,39.27311667,106.7305333,1160,-47.65770088,,,29,-149.355,
"Li et al., 2019",Ladd,ALSM2,39.4,105.69,1174,-44.47562552,,,29,-152,
"Li et al., 2019",Ladd,TC,35.21,109,1222,-67.27110532,,,29,-176.7,
"Li et al., 2019",Ladd,YA,36.37,109.56,1245,-67.27678925,,,29,-166,
"Li et al., 2019",Ladd,FX,35.96,109.73,1270,-68.38883632,,,29,-161.3,
"Li et al., 2019",Ladd,QY,36.08,107.82,1285,-65.30353845,,,29,-178.8,
"Li et al., 2019",Ladd,SE02,27.83,117.73,1337,-62.11388593,,,29,-205.621,
"Li et al., 2019",Ladd,S15,31.47,110.38,1339,-70.89351378,,,29,-180.05,
"Li et al., 2019",Ladd,N06,39.37438333,108.2947333,1390,-54.45343806,,,29,-163.408,
"Li et al., 2019",Ladd,S14,31.33,110.42,1400,-68.29715815,,,29,-178.101,
"Li et al., 2019",Ladd,N04,37.29825,108.9454667,1427,-63.03882758,,,29,-167.054,
"Li et al., 2019",Ladd,ALSYQ7,39.21,102.62,1443,-26.78352269,,,29,-129.5,
"Li et al., 2019",Ladd,ALSM1,38.97,105.66,1464,-49.69323915,,,29,-148.8,
"Li et al., 2019",Ladd,SE03,27.84,117.74,1514,-62.10199458,,,29,-205.342,
"Li et al., 2019",Ladd,LC,40.92,112.9,1549,-70.76047953,,,29,-172.2,
"Li et al., 2019",Ladd,ZY2,39.09,100.07,1604,-35.15936398,,,29,-140.9,
"Li et al., 2019",Ladd,ZW3,37.36,104.1,1635,-38.57636507,,,29,-152.1,
"Li et al., 2019",Ladd,JQ8,39.27,99.34,1683,-36.64066075,,,29,-128.1,
"Li et al., 2019",Ladd,JY,36.46,104.6,1720,-40.60502204,,,29,-160,
"Li et al., 2019",Ladd,JT,36.95,104.83,1743,-46.32421625,,,29,-170,
"Li et al., 2019",Ladd,ZW1,37.64,103.14,1745,-34.71422074,,,29,-155.9,
"Li et al., 2019",Ladd,JQ1,39.81,97.99,1749,-37.67734024,,,29,-147.2,
"Li et al., 2019",Ladd,S12,31.05,110.92,1760,-62.97288598,,,29,-196.253,
"Li et al., 2019",Ladd,SE04,27.84,117.76,1765,-61.96346716,,,29,-211.941,
"Li et al., 2019",Ladd,ALSYQ1,39.01,101.2,1789,-34.5970514,,,29,-147.9,
"Li et al., 2019",Ladd,ZW2,37.52,103.64,1850,-39.45589201,,,29,-153.8,
"Li et al., 2019",Ladd,GLS,36.02,103.84,1999,-35.87063231,,,29,-149,
"Lu et al., 2020",Ladd,SP-01,43.208,124.136,135,-57.02831035,,,29,-179,
"Lu et al., 2020",Ladd,SP-02,43.209,124.136,136,-57.03069318,,,29,-173,
"Lu et al., 2020",Ladd,TL-01,43.751,122.602,162,-60.87010546,,,29,-176,
"Lu et al., 2020",Ladd,TL-03,43.624,121.786,198,-63.28225257,,,29,-178,
"Lu et al., 2020",Ladd,TL-07,43.624,121.787,200,-63.27871232,,,29,-171,
"Lu et al., 2020",Ladd,TL-09,43.547,121.709,208,-63.59874045,,,29,-177,
"Lu et al., 2020",Ladd,LY-02,42.967,124.886,255,-58.05882285,,,29,-192,
"Lu et al., 2020",Ladd,KL-01,43.647,120.94,259,-66.02544336,,,29,-177,
"Lu et al., 2020",Ladd,KL-04,43.642,120.887,262,-66.19085801,,,29,-184,
"Lu et al., 2020",Ladd,PS-02,43.335,125.976,298,-59.55776953,,,29,-190,
"Lu et al., 2020",Ladd,LY-05,43.092,124.728,301,-58.754536,,,29,-190,
"Lu et al., 2020",Ladd,HN-01,42.627,126.253,340,-58.59387833,,,29,-192,
"Lu et al., 2020",Ladd,HN-03,42.636,126.253,344,-58.55790471,,,29,-184,
"Lu et al., 2020",Ladd,AQ-01,43.838,119.959,525,-71.00646727,,,29,-202,
"Lu et al., 2020",Ladd,AQ-02,43.839,119.959,525,-71.00837778,,,29,-172,
"Lu et al., 2020",Ladd,AQ-05,43.839,119.959,526,-71.00837778,,,29,-212,
"Lu et al., 2020",Ladd,AQ-03,43.839,119.959,527,-71.00837778,,,29,-185,
"Lu et al., 2020",Ladd,JY-04,42.418,126.676,592,-62.62232344,,,29,-194,
"Lu et al., 2020",Ladd,JY-05,42.409,126.683,599,-62.52318849,,,29,-195,
"Lu et al., 2020",Ladd,JY-01,42.373,126.859,601,-61.88210517,,,29,-190,
"Lu et al., 2020",Ladd,BYQ-01,43.299,118.302,691,-74.73296858,,,29,-196,
"Lu et al., 2020",Ladd,BYQ-05,42.3,118.304,696,-76.57092441,,,29,-191,
"Lu et al., 2020",Ladd,FS-01,42.228,127.403,701,-63.8964936,,,29,-196,
"Lu et al., 2020",Ladd,FS-03,42.228,127.403,703,-63.8964936,,,29,-197,
"Lu et al., 2020",Ladd,CB-01,42.05,127.684,882,-66.59191784,,,29,-195,
"Lu et al., 2020",Ladd,CB-50,42.05,127.685,882,-66.60176672,,,29,-190,
"Lu et al., 2020",Ladd,CB-02,42.05,127.685,883,-66.60176672,,,29,-191,
"Lu et al., 2020",Ladd,ET-02,43.64,112.298,969,-67.25821614,,,29,-177,
"Lu et al., 2020",Ladd,ET-03,43.64,112.297,972,-67.25458222,,,29,-178,
"Lu et al., 2020",Ladd,ABQ-03,43.989,114.843,1118,-77.6292877,,,29,-174,
"Lu et al., 2020",Ladd,ABQ-05,43.989,114.843,1122,-77.6292877,,,29,-172,
"Lu et al., 2020",Ladd,KQ-02,43.241,117.378,1135,-82.01902481,,,29,-192,
"Lu et al., 2020",Ladd,KQ-01,43.241,117.377,1136,-82.02655303,,,29,-177,
"Lu et al., 2020",Ladd,KQ-05,43.241,117.377,1137,-82.02655303,,,29,-186,
"Lu et al., 2020",Ladd,SNQ-02,43.843,113.79,1161,-74.61761066,,,29,-184,
"Lu et al., 2020",Ladd,SNQ-01,43.843,113.789,1162,-74.60947591,,,29,-183,
"Lu et al., 2020",Ladd,XM-02,43.676,116.643,1181,-80.46404627,,,29,-188,
"Lu et al., 2020",Ladd,XM-01,43.677,116.643,1183,-80.46190723,,,29,-189,
McFarlin et al 2019,McFarlin,T3,63.75,-51.35,30,-106,7,2018,29,-215.5,3.9
McFarlin et al 2019,McFarlin,T2,63.76,-51.37,57,-106,7,2018,29,-218.3,3.8
McFarlin et al 2019,McFarlin,RTL5,66.98,-50.92,65,-135,14,2018,29,-250.6,3.7
McFarlin et al 2019,McFarlin,T1,63.76,-51.36,75,-107,7,2018,29,-203.4,3.8
McFarlin et al 2019,McFarlin,PLK,63.8,-51.19,76,-107,7,2018,29,-206.1,3.6
McFarlin et al 2019,McFarlin,RTL4,67.01,-50.67,112,-137,13,2018,29,-254.9,3.8
McFarlin et al 2019,McFarlin,LSL,67.05,-50.52,124,-139,13,2018,29,-236.6,5.5
McFarlin et al 2019,McFarlin,TUP,60.38,-44.3,145,-89,2,2018,29,-215,3.8
McFarlin et al 2019,McFarlin,RTL3,67.06,-50.45,170,-140,13,2018,29,-232.4,6.4
McFarlin et al 2019,McFarlin,STR,76.67,-67.94,224,-181,1,2018,29,-247.5,6
McFarlin et al 2019,McFarlin,SEC,76.58,-68.66,248,-181,1,2018,29,-246.3,3.6
McFarlin et al 2019,McFarlin,SHL,67.15,-50.13,335,-146,11,2018,29,-250.7,3.6
McFarlin et al 2019,McFarlin,USHL,67.15,-50.13,340,-147,11,2018,29,-256.7,4.1
McFarlin et al 2019,McFarlin,RTL1,67.15,-50.08,443,-148,11,2018,29,-239.5,3.7
McFarlin et al 2019,McFarlin,RTL2,67.14,-50.08,449,-148,11,2018,29,-224.3,6.1
McFarlin et al 2019,McFarlin,NS1,76.82,-67.05,455,-186,2,2018,29,-234.7,3.8
McFarlin et al 2019,McFarlin,SCP,60.7,-45.42,475,-96,2,2018,29,-210.7,3.9
McFarlin et al 2019,McFarlin,PIN,60.7,-45.1,480,-96,2,2018,29,-215.7,5.5
McFarlin et al 2019,McFarlin,WLL,76.85,-66.96,517,-187,2,2018,29,-264.1,7.1
McFarlin et al 2019,McFarlin,LNR,60.87,-45.72,751,-101,3,2018,29,-202.8,5.8
McFarlin et al 2019,McFarlin,NAR,60.87,-45.72,766,-101,3,2018,29,-209.8,4.2
Mugler et al 2008,McFarlin,HZM,50.12,6.88,425,-56,2,2018,29,-198,1
Mugler et al 2008,McFarlin,Tibet_ave (NC),30.64,90.6,4718,-139,4,2018,29,-246,36.4
Mugler et al 2008,McFarlin,Tibet 4 (CJ),30.9,90.87,4718,-139,4,2018,29,-255,3
Nelson et al 2018,McFarlin,Rot,47.07,8.31,419,-65,2,2018,29,-200,
Nelson et al 2018,McFarlin,Greifen,47.35,8.67,439,-66,2,2018,29,-193.2,
Nelson et al 2018,McFarlin,Baldegg,47.2,8.26,463,-66,2,2018,29,-199.7,
Nelson et al 2018,McFarlin,Sarnen,46.87,8.22,469,-66,3,2018,29,-142.4,
Nelson et al 2018,McFarlin,Mauen,47.17,8.08,504,-67,1,2018,29,-200.2,
Nelson et al 2018,McFarlin,Soppen,47.09,8.08,596,-68,1,2018,29,-200.6,
"Pautler et al., 2014",Liu,"Christie Mine, Dominion Creek",63.65,-138.63,581,-163,,,29,-275,
"Pautler et al., 2014",Liu,"Christie Mine, Dominion Creek",63.65,-138.63,581,-163,,,29,-275,
"Pautler et al., 2014",Liu,"Christie Mine, Dominion Creek",63.65,-138.63,581,-163,,,29,-285,
"Pautler et al., 2014",Liu,"Christie Mine, Dominion Creek",63.65,-138.63,581,-163,,,29,-269,
"Pautler et al., 2014",Liu,"Christie Mine, Dominion Creek",63.65,-138.63,581,-163,,,29,-274,
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,581,-163,,,29,-259,
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,581,-163,,,29,-270,
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,581,-163,,,29,-278,
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,581,-163,,,29,-274,
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,582,-163,,,29,-246,
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,582,-163,,,29,-261,
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,582,-163,,,29,-257,
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,582,-163,,,29,-262,
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,582,-163,,,29,-266,
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,582,-163,,,29,-263,
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,582,-163,,,29,-265,
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,582,-163,,,29,-268,
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,582,-163,,,29,-270,
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,582,-163,,,29,-268,
"Pautler et al., 2014",Liu,Goldbottom Creek,63.93,-138.97,689,-165,,,29,-279,
"Pautler et al., 2014",Liu,Goldbottom Creek,63.93,-138.97,689,-165,,,29,-274,
"Pautler et al., 2014",Liu,Goldbottom Creek,63.93,-138.97,689,-165,,,29,-273,
"Pautler et al., 2014",Liu,Goldbottom Creek,63.93,-138.97,689,-165,,,29,-266,
"Pautler et al., 2014",Liu,Kluane Lake,61.15,-138.45,748,-164,,,29,-259,
"Pautler et al., 2014",Liu,Kluane Lake,61.15,-138.45,748,-164,,,29,-241,
"Pautler et al., 2014",Liu,Kluane Lake,61.15,-138.45,748,-164,,,29,-260,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3,37,1727,-23,,,29,-114,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3,37,1822,-24,,,29,-135,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3,37,1967,-27,,,29,-156,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3,37,2068,-28,,,29,-152,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3,37,2124,-29,,,29,-140,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3,37,2239,-30,,,29,-136,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3,37,2346,-32,,,29,-144,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3,37,2464,-34,,,29,-147,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3,37,2578,-35,,,29,-139,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3,37,2652,-36,,,29,-144,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3,37,2764,-38,,,29,-149,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3,37,2885,-40,,,29,-138,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3,37,2999,-41,,,29,-144,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3,37,3070,-42,,,29,-154,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3,37,3157,-43,,,29,-143,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3,37,3245,-45,,,29,-151,
Polissar and Freeman 2010,McFarlin,Laguna Zapatera,11.77,-85.85,32,-32,2,2018,29,-159.2,
Polissar and Freeman 2010,McFarlin,Bear Meadows,40.73,-77.76,552,-65,2,2018,29,-191.3,
Polissar and Freeman 2010,McFarlin,Owens Lake,36.49,-117.89,1147,-85,4,2018,29,-191.2,
Polissar and Freeman 2010,McFarlin,Rainy Lake,48.5,-120.74,1460,-111,5,2018,29,-209.7,
Polissar and Freeman 2010,McFarlin,Waddell Lake,48.44,-120.82,1499.616,-109,5,2018,29,-216.2,2.8
Polissar and Freeman 2010,McFarlin,Berdeen Lake,48.71,-121.47,1560.576,-105,6,2018,29,-200.4,3.7
Polissar and Freeman 2010,McFarlin,Mono Lake,37.94,-119.03,1899,-99,2,2018,29,-194,0.9
Polissar and Freeman 2010,McFarlin,Lake Crowley,37.58,-118.74,2058,-103,2,2018,29,-238,3
Polissar and Freeman 2010,McFarlin,Laguna Los Lirios,8.31,-71.83,2305.1,-67,5,2018,29,-164.3,1.2
Polissar and Freeman 2010,McFarlin,Blue (Eagle) Lake,39.75,-106.76,2536,-98,1,2018,29,-207.3,1.4
Polissar and Freeman 2010,McFarlin,Emerald Lake,39.07,-111.5,3093,-120,5,2018,29,-204.3,1.8
Polissar and Freeman 2010,McFarlin,Laguna Victoria,8.81,-70.8,3210.9,-78,10,2018,29,-191.1,1.6
Polissar and Freeman 2010,McFarlin,S. Grizzly Lake,39.69,-107.33,3239,-111,4,2018,29,-205.4,4.5
Polissar and Freeman 2010,McFarlin,Bison Lake,39.76,-107.35,3276,-112,4,2018,29,-205.2,2.6
Polissar and Freeman 2010,McFarlin,Laguna Negra,8.79,-70.81,3459.9,-82,11,2018,29,-177.5,3.3
Polissar and Freeman 2010,McFarlin,Laguna Mucubaji,8.8,-70.83,3570.2,-84,11,2018,29,-192.3,2.2
Polissar and Freeman 2010,McFarlin,Laguna Michurao Alto,8.73,-70.86,3738,-87,12,2018,29,-187.6,
Polissar and Freeman 2010,McFarlin,"Laguna Royal ""D""",8.73,-70.87,3763.7,-87,12,2018,29,-199.2,
Polissar and Freeman 2010,McFarlin,Laguna Misteque,8.72,-70.88,3803.8,-88,12,2018,29,-195.8,
Polissar and Freeman 2010,McFarlin,"Laguna Royal ""C""",8.72,-70.87,3830.2,-88,12,2018,29,-194,
Polissar and Freeman 2010,McFarlin,Laguna de La Pata,8.65,-70.93,3980.2,-91,13,2018,29,-188.5,
Polissar and Freeman 2010,McFarlin,Laguna Arenales Alta,8.73,-71.19,4005,-93,12,2018,29,-185.9,3.7
Polissar and Freeman 2010,McFarlin,Laguna Verdes Baja,8.86,-70.87,4169.8,-94,14,2018,29,-184.3,3.5
Polissar and Freeman 2010,McFarlin,Laguna Grande de los Patos,8.81,-70.95,4189.8,-95,14,2018,29,-190.5,
Polissar and Freeman 2010,McFarlin,Laguna Verdes Medio,8.86,-70.87,4191.7,-94,14,2018,29,-180.1,
Polissar and Freeman 2010,McFarlin,Laguna La Cura,8.81,-70.95,4230.1,-95,14,2018,29,-187.2,
Polissar and Freeman 2010,McFarlin,Lago Taypi Chaka Kkota,-16.2,-68.35,4300,-105,5,2018,29,-224.6,
Polissar and Freeman 2010,McFarlin,Laguna Potosi,-19.64,-65.7,4640,-112,4,2018,29,-205.6,11.4
Sachse et al 2004,McFarlin,MAS,43.83,10.31,18,-36,2,2018,29,-159,7
Sachse et al 2004,McFarlin,SOR,55.55,11.7,30,-65,1,2018,29,-201,2
Sachse et al 2004,McFarlin,HYY,61.85,24.28,149,-89,1,2018,29,-205,4
Sachse et al 2004,McFarlin,LAM,61.06,25.1,151,-88,1,2018,29,-205,4
Sachse et al 2004,McFarlin,SYR,61.19,25.14,156,-88,1,2018,29,-207,2
Sachse et al 2004,McFarlin,SOD003,67.38,26.85,178,-98,1,2018,29,-215,9
Sachse et al 2004,McFarlin,SOD007,67.36,27.17,293,-99,1,2018,29,-227,5
