source,compilation,location,latitude,longitude,elevation,d2H_precip,d2H_precip_err,d2H_precip_year,chain,d2H_wax,d2H_wax_err,data_source,Sample Type,Functional Type,MAP (mm/yr),MAT (°C),DOI,Audit Flags
"Herrmann et al., 2017",Liu,WRZ,-32.86,18.53,,-17.0,,,29,-130.0,,original,,,,,,
"Herrmann et al., 2017",Liu,WRZ,-32.86,18.53,,-18.0,,,29,-132.0,,original,,,,,,
"Herrmann et al., 2017",Liu,WRZ,-32.79,19.22,,-18.0,,,29,-137.0,,original,,,,,,
"Herrmann et al., 2017",Liu,WRZ,-32.79,19.22,,-18.0,,,29,-121.0,,original,,,,,,
"Herrmann et al., 2017",Liu,WRZ,-32.72,18.25,,-13.0,,,29,-131.0,,original,,,,,,
"Herrmann et al., 2017",Liu,WRZ,-32.72,18.25,,-13.0,,,29,-146.0,,original,,,,,,
"Herrmann et al., 2017",Liu,YRZ,-32.33,20.34,,-25.0,,,29,-103.0,,original,,,,,,
"Herrmann et al., 2017",Liu,WRZ,-32.3,19.14,,-22.0,,,29,-141.0,,original,,,,,,
"Herrmann et al., 2017",Liu,WRZ,-32.22,18.22,,-14.0,,,29,-138.0,,original,,,,,,
"Herrmann et al., 2017",Liu,WRZ,-32.22,18.22,,-13.0,,,29,-141.0,,original,,,,,,
"Herrmann et al., 2017",Liu,YRZ,-32.21,20.39,,-26.0,,,29,-123.0,,original,,,,,,
"Herrmann et al., 2017",Liu,YRZ,-32.21,20.39,,-26.0,,,29,-136.0,,original,,,,,,
"Herrmann et al., 2017",Liu,WRZ,-32.18,18.24,,-12.0,,,29,-130.0,,original,,,,,,
"Herrmann et al., 2017",Liu,WRZ,-32.13,18.6,,-20.0,,,29,-134.0,,original,,,,,,
"Herrmann et al., 2017",Liu,WRZ,-32.13,18.6,,-20.0,,,29,-126.0,,original,,,,,,
"Herrmann et al., 2017",Liu,WRZ,-32.13,19.05,,-20.0,,,29,-132.0,,original,,,,,,
"Herrmann et al., 2017",Liu,WRZ,-31.56,19.89,,-16.0,,,29,-124.0,,original,,,,,,
"Herrmann et al., 2017",Liu,WRZ,-31.34,18.32,,-11.0,,,29,-124.0,,original,,,,,,
"Herrmann et al., 2017",Liu,WRZ,-31.34,18.32,,-11.0,,,29,-119.0,,original,,,,,,
"Herrmann et al., 2017",Liu,WRZ,-31.28,19.5,,-20.0,,,29,-131.0,,original,,,,,,
"Herrmann et al., 2017",Liu,WRZ,-31.26,18.36,,-10.0,,,29,-112.0,,original,,,,,,
"Herrmann et al., 2017",Liu,WRZ,-31.26,18.42,,-11.0,,,29,-108.0,,original,,,,,,
"Herrmann et al., 2017",Liu,WRZ,-31.23,19.17,,-17.0,,,29,-113.0,,original,,,,,,
"Herrmann et al., 2017",Liu,WRZ,-31.23,19.17,,-16.0,,,29,-104.0,,original,,,,,,
"Herrmann et al., 2017",Liu,WRZ,-31.18,20.9,,-19.0,,,29,-117.0,,original,,,,,,
"Herrmann et al., 2017",Liu,WRZ,-31.18,20.9,,-19.0,,,29,-107.0,,original,,,,,,
"Herrmann et al., 2017",Liu,WRZ,-31.08,18.15,,-12.0,,,29,-114.0,,original,,,,,,
"Herrmann et al., 2017",Liu,WRZ,-30.5,19.46,,-13.0,,,29,-114.0,,original,,,,,,
"Herrmann et al., 2017",Liu,WRZ,-30.46,18.29,,-15.0,,,29,-109.0,,original,,,,,,
"Herrmann et al., 2017",Liu,WRZ,-30.46,18.29,,-15.0,,,29,-142.0,,original,,,,,,
"Herrmann et al., 2017",Liu,YRZ,-30.4,20.24,,-26.0,,,29,-114.0,,original,,,,,,
"Herrmann et al., 2017",Liu,WRZ,-30.26,18.46,,-15.0,,,29,-95.0,,original,,,,,,
"Herrmann et al., 2017",Liu,WRZ,-30.24,18.46,,-16.0,,,29,-82.0,,original,,,,,,
"Herrmann et al., 2017",Liu,SRZ,-29.87,26.4,,-31.0,,,29,-112.0,,original,,,,,,
"Herrmann et al., 2017",Liu,SRZ,-29.8,25.33,,-33.0,,,29,-127.0,,original,,,,,,
"Herrmann et al., 2017",Liu,SRZ,-29.62,23.44,,-26.0,,,29,-117.0,,original,,,,,,
"Herrmann et al., 2017",Liu,SRZ,-29.57,22.2,,-24.0,,,29,-101.0,,original,,,,,,
"Herrmann et al., 2017",Liu,SRZ,-29.46,20.47,,-24.0,,,29,-75.0,,original,,,,,,
"Herrmann et al., 2017",Liu,SRZ,-29.46,20.47,,-24.0,,,29,-116.0,,original,,,,,,
"Herrmann et al., 2017",Liu,SRZ,-29.4,22.55,,-28.0,,,29,-88.0,,original,,,,,,
"Herrmann et al., 2017",Liu,YRZ,-29.31,19.26,,-27.0,,,29,-95.0,,original,,,,,,
"Herrmann et al., 2017",Liu,SRZ,-29.29,22.45,,-27.0,,,29,-104.0,,original,,,,,,
"Herrmann et al., 2017",Liu,SRZ,-29.23,21.7,,-23.0,,,29,-111.0,,original,,,,,,
"Herrmann et al., 2017",Liu,SRZ,-29.22,23.2,,-27.0,,,29,-113.0,,original,,,,,,
"Herrmann et al., 2017",Liu,SRZ,-29.22,23.2,,-27.0,,,29,-111.0,,original,,,,,,
"Herrmann et al., 2017",Liu,SRZ,-28.58,25.3,,-29.0,,,29,-111.0,,original,,,,,,
"Herrmann et al., 2017",Liu,YRZ,-28.57,19.23,,-25.0,,,29,-110.0,,original,,,,,,
"Herrmann et al., 2017",Liu,SRZ,-28.57,27.5,,-32.0,,,29,-117.0,,original,,,,,,
"Herrmann et al., 2017",Liu,SRZ,-28.56,24.13,,-24.0,,,29,-116.0,,original,,,,,,
"Herrmann et al., 2017",Liu,SRZ,-28.5,26.36,,-30.0,,,29,-126.0,,original,,,,,,
"Herrmann et al., 2017",Liu,SRZ,-28.5,26.36,,-30.0,,,29,-133.0,,original,,,,,,
"Herrmann et al., 2017",Liu,SRZ,-28.45,24.42,,-26.0,,,29,-109.0,,original,,,,,,
"Herrmann et al., 2017",Liu,SRZ,-28.45,24.42,,-25.0,,,29,-119.0,,original,,,,,,
"Herrmann et al., 2017",Liu,SRZ,-28.44,22.31,,-30.0,,,29,-112.0,,original,,,,,,
"Herrmann et al., 2017",Liu,SRZ,-28.38,22.15,,-29.0,,,29,-103.0,,original,,,,,,
"Herrmann et al., 2017",Liu,SRZ,-27.55,28.23,,-30.0,,,29,-148.0,,original,,,,,,
"Herrmann et al., 2017",Liu,SRZ,-27.55,28.23,,-29.0,,,29,-151.0,,original,,,,,,
"Herrmann et al., 2017",Liu,SRZ,-27.55,28.23,,-29.0,,,29,-134.0,,original,,,,,,
"Herrmann et al., 2017",Liu,SRZ,-27.25,28.3,,-26.0,,,29,-149.0,,original,,,,,,
"Herrmann et al., 2017",Liu,SRZ,-27.05,28.35,,-25.0,,,29,-128.0,,original,,,,,,
"Huang et al., 2016",Liu,Yichun,68.52,129.53,272.0,-88.0,,,29,-209.0,,original,,,,,,
"Huang et al., 2016",Liu,Hani,42.22,126.52,902.0,-77.0,,,29,-222.0,,original,,,,,,
"Huang et al., 2016",Liu,Tiandouyang,25.9,117.47,1196.0,-55.0,,,29,-192.0,,original,,,,,,
"Huang et al., 2016",Liu,Wangdongyang,27.67,119.63,1398.0,-59.0,,,29,-203.0,,original,,,,,,
"Huang et al., 2016",Liu,Shiwangutian,26.08,110.37,1688.0,-62.0,,,29,-208.0,,original,,,,,,
"Huang et al., 2016",Liu,Dajiuhu,31.47,110.0,1700.0,-64.0,,,29,-204.0,,original,,,,,,
"Huang et al., 2016",Liu,Zoige,33.82,102.73,3500.0,-87.0,,,29,-204.0,,original,,,,,,
"Jaeschke et al., 2018",Ladd,VI-Cropland,7.593,36.8544,1769.0,6.281825171,,,29,-131.0,,original,,,,,,
"Jaeschke et al., 2018",Ladd,VI-Forest,7.593,36.8544,1769.0,6.281825171,,,29,-134.0,,original,,,,,,
"Jaeschke et al., 2018",Ladd,VI-Grassland,7.593,36.8544,1769.0,6.281825171,,,29,-133.0,,original,,,,,,
"Jaeschke et al., 2018",Ladd,IV-Cropland,7.4782,36.8814,2099.0,0.672390959,,,29,-127.0,,original,,,,,,
"Jaeschke et al., 2018",Ladd,IV-Forest,7.4782,36.8814,2099.0,0.672390959,,,29,-132.0,,original,,,,,,
"Jaeschke et al., 2018",Ladd,IV-Grassland,7.4782,36.8814,2099.0,0.672390959,,,29,-130.0,,original,,,,,,
"Jaeschke et al., 2018",Ladd,V-Grassland,7.5176,36.8758,2109.0,3.473166985,,,29,-125.0,,original,,,,,,
"Jaeschke et al., 2018",Ladd,V-Forest,7.5176,36.8758,2109.0,3.473166985,,,29,-134.0,,original,,,,,,
"Jaeschke et al., 2018",Ladd,V-Cropland,7.5176,36.8758,2109.0,3.473166985,,,29,-128.0,,original,,,,,,
"Jaeschke et al., 2018",Ladd,III-Forest,7.4609,36.8687,2402.0,-1.199190527,,,29,-132.0,,original,,,,,,
"Jaeschke et al., 2018",Ladd,III-Cropland,7.4609,36.8687,2402.0,-1.199190527,,,29,-130.0,,original,,,,,,
"Jaeschke et al., 2018",Ladd,III-Grassland,7.4609,36.8687,2402.0,-1.199190527,,,29,-129.0,,original,,,,,,
"Jaeschke et al., 2018",Ladd,II-Forest,7.4527,36.8704,2545.0,-1.059381222,,,29,-140.0,,original,,,,,,
"Jaeschke et al., 2018",Ladd,II-Cropland,7.4527,36.8704,2545.0,-1.059381222,,,29,-133.0,,original,,,,,,
"Jaeschke et al., 2018",Ladd,II-Grassland,7.4527,36.8704,2545.0,-1.059381222,,,29,-135.0,,original,,,,,,
"Jaeschke et al., 2018",Ladd,I-Forest,7.4452,36.8768,2650.0,-0.422700005,,,29,-130.0,,original,,,,,,
"Jaeschke et al., 2018",Ladd,I-Grassland,7.4452,36.8768,2650.0,-0.422700005,,,29,-129.0,,original,,,,,,
"Jaeschke et al., 2018",Ladd,I-Cropland,7.4452,36.8768,2650.0,-0.422700005,,,29,-131.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1180.0,-56.0,,,29,-178.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1220.0,-57.0,,,29,-195.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1320.0,-58.0,,,29,-180.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1375.0,-59.0,,,29,-169.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1440.0,-60.0,,,29,-195.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1470.0,-60.0,,,29,-184.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1515.0,-60.0,,,29,-178.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1550.0,-61.0,,,29,-183.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1610.0,-62.0,,,29,-192.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1645.0,-62.0,,,29,-181.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1700.0,-63.0,,,29,-193.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1740.0,-63.0,,,29,-178.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1800.0,-64.0,,,29,-202.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1850.0,-65.0,,,29,-195.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1915.0,-66.0,,,29,-188.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1973.0,-66.0,,,29,-201.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2005.0,-67.0,,,29,-199.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2085.0,-68.0,,,29,-206.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2115.0,-68.0,,,29,-185.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2160.0,-69.0,,,29,-214.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2220.0,-70.0,,,29,-203.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2300.0,-71.0,,,29,-195.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2350.0,-72.0,,,29,-189.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2420.0,-73.0,,,29,-197.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2540.0,-75.0,,,29,-200.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2540.0,-75.0,,,29,-200.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2620.0,-76.0,,,29,-199.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2620.0,-76.0,,,29,-199.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2742.0,-78.0,,,29,-206.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2742.0,-78.0,,,29,-206.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2764.0,-78.0,,,29,-207.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2808.0,-79.0,,,29,-193.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2846.0,-79.0,,,29,-196.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2920.0,-81.0,,,29,-197.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2960.0,-81.0,,,29,-198.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,3015.0,-82.0,,,29,-196.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,3049.0,-83.0,,,29,-207.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,3065.0,-83.0,,,29,-207.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,3119.0,-84.0,,,29,-207.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,3145.0,-85.0,,,29,-195.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,3188.0,-85.0,,,29,-220.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,3209.0,-86.0,,,29,-200.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,3518.0,-92.0,,,29,-224.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,3596.0,-93.0,,,29,-219.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,3676.0,-95.0,,,29,-241.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,3767.0,-97.0,,,29,-237.0,,original,,,,,,
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,3819.0,-98.0,,,29,-240.0,,original,,,,,,
"Krull et al., 2006",Liu,Queensland,-23.22,143.95,191.0,-23.0,,,29,,,original,,,,,,
"Krull et al., 2006",Liu,Queensland,-23.22,143.95,191.0,-23.0,,,29,-88.0,,original,,,,,,
"Krull et al., 2006",Liu,Queensland,-23.22,143.95,191.0,-23.0,,,29,,,original,,,,,,
"Ladd et al., SPCZ in prep",Ladd,"Lake Hut, Grande Terre, New Caledonia",-22.2609,166.9526,,-17.27508758,,,29,-160.9349123,,original,,,,,,
"Ladd et al., SPCZ in prep",Ladd,"Emaotul Lake, Efate, Vanuatu",-17.7342,168.4151,,,,,29,-152.1114336,,original,,,,,,
"Ladd et al., SPCZ in prep",Ladd,"Otas Lake, Efate, Vanuatu",-17.6945,168.585,,,,,29,-153.905817,,original,,,,,,
"Ladd et al., SPCZ in prep",Ladd,"Lake Dranoniveilomo, Vanua Balavu, Fiji",-17.1976,-178.9559,,,,,29,-150.7738408,,original,,,,,,
"Ladd et al., SPCZ in prep",Ladd,"Rimatu'u Pond, Tetiaroa, French Polynesia",-17.0249,-149.5583,,,,,29,-177.1739601,,original,,,,,,
"Ladd et al., SPCZ in prep",Ladd,"Onetahi Pond, Tetiaroa, French Polynesia",-17.0207,-149.5919,,,,,29,-138.5723108,,original,,,,,,
"Ladd et al., SPCZ in prep",Ladd,"Oroatera Pond, Tetiaroa, French Polynesia",-16.9958,-149.5409,,,,,29,-173.4873843,,original,,,,,,
"Ladd et al., SPCZ in prep",Ladd,"Lake Tagamaucia, Teveuni, Fiji",-16.8163,-179.9399,,-27.55525576,,,29,-170.0839323,,original,,,,,,
"Ladd et al., SPCZ in prep",Ladd,"Nopovois Pond, Espiritu Santo, Vanuatu",-15.497,166.7357,,-22.99123572,,,29,-154.0,,original,,,,,,
"Ladd et al., SPCZ in prep",Ladd,"Vesalea Pond, Espiritu Santo, Vanuatu",-15.1589,166.6549,,-22.50132045,,,29,-157.0,,original,,,,,,
"Ladd et al., SPCZ in prep",Ladd,"White Lake, Thion, Vanuatu",-15.041,167.0892,,-21.3855943,,,29,-173.9224813,,original,,,,,,
"Ladd et al., SPCZ in prep",Ladd,"Lake Lanoto'o, Upolu, Samoa",-13.9109,-171.8274,,,,,29,-159.1378214,,original,,,,,,
"Ladd et al., SPCZ in prep",Ladd,"Lake Tavara, Tetepare, Solomon Islands",-8.7029,157.4503,,,,,29,-162.4586096,,original,,,,,,
"Ladd, Maloney et al (UW)",Ladd,PoSap,6.88,158.3,0.0,-34.48175753,,,29,-150.0,,original,,,,,,
"Ladd, Maloney et al (UW)",Ladd,ChuTol,7.35,151.604,0.0,,,,29,-153.0,,original,,,,,,
"Ladd, Maloney et al (UW)",Ladd,YapGal,9.49,138.088,0.0,,,,29,-151.0,,original,,,,,,
"Ladd, Maloney et al (UW)",Ladd,GuSasa,13.44,144.683,0.0,-29.34673356,,,29,-145.0,,original,,,,,,
Leider et al 2013,McFarlin,Lago Aimini Grande,40.2,18.45,0.0,-36.0,2.0,2018.0,29,-159.0,2.6,original,,,,,,
Leider et al 2013,McFarlin,Lago di Bomba,42.01,14.36,269.0,-38.0,1.0,2018.0,29,-156.0,3.9,original,,,,,,
Leider et al 2013,McFarlin,Lago di Monticchio,40.93,15.6,659.0,-48.0,1.0,2018.0,29,-170.0,0.7,original,,,,,,
"Leider et al., 2013",Liu,Porto Cesareo,40.24,17.91,0.0,-33.0,,,29,-134.0,,original,,,,,,
"Leider et al., 2013",Liu,Cervaro river,41.57,15.89,0.0,-35.0,,,29,-175.0,,original,,,,,,
"Leider et al., 2013",Liu,Manfredonia Lido,41.62,15.9,0.0,-35.0,,,29,-159.0,,original,,,,,,
"Leider et al., 2013",Liu,Potenza river,43.42,13.65,0.0,-39.0,,,29,-164.0,,original,,,,,,
"Leider et al., 2013",Liu,Po di Goro,44.84,12.34,0.0,-43.0,,,29,-182.0,,original,,,,,,
"Leider et al., 2013",Liu,Po della Donzella,44.84,12.38,0.0,-43.0,,,29,-170.0,,original,,,,,,
"Leider et al., 2013",Liu,Reno river,44.55,12.14,2.0,-42.0,,,29,-172.0,,original,,,,,,
"Leider et al., 2013",Liu,Vomano river,42.65,13.99,15.0,-38.0,,,29,-152.0,,original,,,,,,
"Leider et al., 2013",Liu,Foflia river,43.87,12.81,25.0,-41.0,,,29,-167.0,,original,,,,,,
"Li et al., 2019",Ladd,S10,26.81,112.58,80.0,-32.65942573,,,29,-169.017,,original,,,,,,
"Li et al., 2019",Ladd,S6,24.6,113.65,137.0,-45.91662253,,,29,-170.322,,original,,,,,,
"Li et al., 2019",Ladd,S5,24.28,113.55,164.0,-47.08838428,,,29,-168.956,,original,,,,,,
"Li et al., 2019",Ladd,S11,27.11,112.1,165.0,-34.89353581,,,29,-164.676,,original,,,,,,
"Li et al., 2019",Ladd,S8,25.29,112.99,186.0,-42.33824987,,,29,-170.322,,original,,,,,,
"Li et al., 2019",Ladd,S1,22.57,114.23,197.0,-43.19637707,,,29,-173.54,,original,,,,,,
"Li et al., 2019",Ladd,XY,34.94,113.38,222.0,-52.57658507,,,29,-169.1,,original,,,,,,
"Li et al., 2019",Ladd,S9,25.64,113.04,280.0,-43.63132719,,,29,-170.62,,original,,,,,,
"Li et al., 2019",Ladd,S7,25.1,113.52,302.0,-45.1583678,,,29,-170.628,,original,,,,,,
"Li et al., 2019",Ladd,JYX,35.05,112.46,367.0,-54.63813107,,,29,-170.4,,original,,,,,,
"Li et al., 2019",Ladd,S3,23.3,113.46,451.0,-43.93505445,,,29,-169.91,,original,,,,,,
"Li et al., 2019",Ladd,XF,35.84,111.44,455.0,-57.08910904,,,29,-175.3,,original,,,,,,
"Li et al., 2019",Ladd,S4,23.63,113.87,531.0,-51.0302718,,,29,-170.991,,original,,,,,,
"Li et al., 2019",Ladd,X'A,34.3,108.61,588.0,-52.01051603,,,29,-172.9,,original,,,,,,
"Li et al., 2019",Ladd,S2,23.27,114.03,600.0,-45.72623261,,,29,-179.348,,original,,,,,,
"Li et al., 2019",Ladd,N02,35.89485,108.97625,622.0,-65.70227258,,,29,-170.776,,original,,,,,,
"Li et al., 2019",Ladd,SE01,27.88,117.74,749.0,-62.07799197,,,29,-191.955,,original,,,,,,
"Li et al., 2019",Ladd,HLS,36.0,110.15,897.0,-65.07269539,,,29,-195.7,,original,,,,,,
"Li et al., 2019",Ladd,S13,31.3,110.38,900.0,-64.53586429,,,29,-174.048,,original,,,,,,
"Li et al., 2019",Ladd,CZ,36.2,113.28,1028.0,-66.86627971,,,29,-170.6,,original,,,,,,
"Li et al., 2019",Ladd,SEQ,40.59,110.44,1068.0,-55.78645038,,,29,-163.2,,original,,,,,,
"Li et al., 2019",Ladd,N03,36.57676667,109.4143667,1077.0,-63.75345383,,,29,-173.863,,original,,,,,,
"Li et al., 2019",Ladd,DK,40.8,107.5,1078.0,-51.08561927,,,29,-148.5,,original,,,,,,
"Li et al., 2019",Ladd,N01,35.87908333,109.4126667,1106.0,-63.78562589,,,29,-191.199,,original,,,,,,
"Li et al., 2019",Ladd,N05,38.37526667,109.69765,1117.0,-57.57441247,,,29,-162.4,,original,,,,,,
"Li et al., 2019",Ladd,ALS,40.3,107.6,1142.0,-51.18082291,,,29,-160.1,,original,,,,,,
"Li et al., 2019",Ladd,ZWL,36.09,107.6,1148.0,-66.48662756,,,29,-160.0,,original,,,,,,
"Li et al., 2019",Ladd,N07,39.27311667,106.7305333,1160.0,-47.65770088,,,29,-149.355,,original,,,,,,
"Li et al., 2019",Ladd,ALSM2,39.4,105.69,1174.0,-44.47562552,,,29,-152.0,,original,,,,,,
"Li et al., 2019",Ladd,TC,35.21,109.0,1222.0,-67.27110532,,,29,-176.7,,original,,,,,,
"Li et al., 2019",Ladd,YA,36.37,109.56,1245.0,-67.27678925,,,29,-166.0,,original,,,,,,
"Li et al., 2019",Ladd,FX,35.96,109.73,1270.0,-68.38883632,,,29,-161.3,,original,,,,,,
"Li et al., 2019",Ladd,QY,36.08,107.82,1285.0,-65.30353845,,,29,-178.8,,original,,,,,,
"Li et al., 2019",Ladd,SE02,27.83,117.73,1337.0,-62.11388593,,,29,-205.621,,original,,,,,,
"Li et al., 2019",Ladd,S15,31.47,110.38,1339.0,-70.89351378,,,29,-180.05,,original,,,,,,
"Li et al., 2019",Ladd,N06,39.37438333,108.2947333,1390.0,-54.45343806,,,29,-163.408,,original,,,,,,
"Li et al., 2019",Ladd,S14,31.33,110.42,1400.0,-68.29715815,,,29,-178.101,,original,,,,,,
"Li et al., 2019",Ladd,N04,37.29825,108.9454667,1427.0,-63.03882758,,,29,-167.054,,original,,,,,,
"Li et al., 2019",Ladd,ALSYQ7,39.21,102.62,1443.0,-26.78352269,,,29,-129.5,,original,,,,,,
"Li et al., 2019",Ladd,ALSM1,38.97,105.66,1464.0,-49.69323915,,,29,-148.8,,original,,,,,,
"Li et al., 2019",Ladd,SE03,27.84,117.74,1514.0,-62.10199458,,,29,-205.342,,original,,,,,,
"Li et al., 2019",Ladd,LC,40.92,112.9,1549.0,-70.76047953,,,29,-172.2,,original,,,,,,
"Li et al., 2019",Ladd,ZY2,39.09,100.07,1604.0,-35.15936398,,,29,-140.9,,original,,,,,,
"Li et al., 2019",Ladd,ZW3,37.36,104.1,1635.0,-38.57636507,,,29,-152.1,,original,,,,,,
"Li et al., 2019",Ladd,JQ8,39.27,99.34,1683.0,-36.64066075,,,29,-128.1,,original,,,,,,
"Li et al., 2019",Ladd,JY,36.46,104.6,1720.0,-40.60502204,,,29,-160.0,,original,,,,,,
"Li et al., 2019",Ladd,JT,36.95,104.83,1743.0,-46.32421625,,,29,-170.0,,original,,,,,,
"Li et al., 2019",Ladd,ZW1,37.64,103.14,1745.0,-34.71422074,,,29,-155.9,,original,,,,,,
"Li et al., 2019",Ladd,JQ1,39.81,97.99,1749.0,-37.67734024,,,29,-147.2,,original,,,,,,
"Li et al., 2019",Ladd,S12,31.05,110.92,1760.0,-62.97288598,,,29,-196.253,,original,,,,,,
"Li et al., 2019",Ladd,SE04,27.84,117.76,1765.0,-61.96346716,,,29,-211.941,,original,,,,,,
"Li et al., 2019",Ladd,ALSYQ1,39.01,101.2,1789.0,-34.5970514,,,29,-147.9,,original,,,,,,
"Li et al., 2019",Ladd,ZW2,37.52,103.64,1850.0,-39.45589201,,,29,-153.8,,original,,,,,,
"Li et al., 2019",Ladd,GLS,36.02,103.84,1999.0,-35.87063231,,,29,-149.0,,original,,,,,,
"Lu et al., 2020",Ladd,SP-01,43.208,124.136,135.0,-57.02831035,,,29,-179.0,,original,,,,,,
"Lu et al., 2020",Ladd,SP-02,43.209,124.136,136.0,-57.03069318,,,29,-173.0,,original,,,,,,
"Lu et al., 2020",Ladd,TL-01,43.751,122.602,162.0,-60.87010546,,,29,-176.0,,original,,,,,,
"Lu et al., 2020",Ladd,TL-03,43.624,121.786,198.0,-63.28225257,,,29,-178.0,,original,,,,,,
"Lu et al., 2020",Ladd,TL-07,43.624,121.787,200.0,-63.27871232,,,29,-171.0,,original,,,,,,
"Lu et al., 2020",Ladd,TL-09,43.547,121.709,208.0,-63.59874045,,,29,-177.0,,original,,,,,,
"Lu et al., 2020",Ladd,LY-02,42.967,124.886,255.0,-58.05882285,,,29,-192.0,,original,,,,,,
"Lu et al., 2020",Ladd,KL-01,43.647,120.94,259.0,-66.02544336,,,29,-177.0,,original,,,,,,
"Lu et al., 2020",Ladd,KL-04,43.642,120.887,262.0,-66.19085801,,,29,-184.0,,original,,,,,,
"Lu et al., 2020",Ladd,PS-02,43.335,125.976,298.0,-59.55776953,,,29,-190.0,,original,,,,,,
"Lu et al., 2020",Ladd,LY-05,43.092,124.728,301.0,-58.754536,,,29,-190.0,,original,,,,,,
"Lu et al., 2020",Ladd,HN-01,42.627,126.253,340.0,-58.59387833,,,29,-192.0,,original,,,,,,
"Lu et al., 2020",Ladd,HN-03,42.636,126.253,344.0,-58.55790471,,,29,-184.0,,original,,,,,,
"Lu et al., 2020",Ladd,AQ-01,43.838,119.959,525.0,-71.00646727,,,29,-202.0,,original,,,,,,
"Lu et al., 2020",Ladd,AQ-02,43.839,119.959,525.0,-71.00837778,,,29,-172.0,,original,,,,,,
"Lu et al., 2020",Ladd,AQ-05,43.839,119.959,526.0,-71.00837778,,,29,-212.0,,original,,,,,,
"Lu et al., 2020",Ladd,AQ-03,43.839,119.959,527.0,-71.00837778,,,29,-185.0,,original,,,,,,
