source,compilation,location,latitude,longitude,elevation,d2H_precip,d2H_precip_err,d2H_precip_year,chain,d2H_wax,d2H_wax_err,data_source,Sample Type,Functional Type,MAP (mm/yr),MAT (°C),DOI,Audit Flags
"Bai et al., 2014",Liu,Mt Qilian,37.64,101.85,3035.0,-60.0,,,29,-163.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,37.64,101.85,3058.0,-60.0,,,29,-176.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,35.77,103.95,3060.0,-58.0,,,29,-201.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,39.33,97.84,3076.0,-54.0,,,29,-162.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,35.47,103.57,3100.0,-58.0,,,29,-214.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,37.63,101.83,3168.0,-62.0,,,29,-166.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,39.14,98.13,3177.0,-54.0,,,29,-163.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,35.78,103.95,3200.0,-59.0,,,29,-217.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,39.34,97.79,3221.0,-54.0,,,29,-165.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,37.61,101.83,3250.0,-62.0,,,29,-171.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,35.78,103.95,3330.0,-62.0,,,29,-216.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,39.33,97.74,3420.0,-64.0,,,29,-158.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,35.77,103.95,3430.0,-62.0,,,29,-210.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,37.56,101.85,3495.0,-66.0,,,29,-181.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,39.31,97.72,3514.0,-64.0,,,29,-168.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,35.74,103.96,3590.0,-66.0,,,29,-235.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,35.73,103.98,3640.0,-66.0,,,29,-217.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,37.54,101.83,3727.0,-71.0,,,29,-170.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,39.34,97.79,3754.0,-64.0,,,29,-169.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,37.53,101.83,3790.0,-71.0,,,29,-163.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,37.53,101.83,3835.0,-71.0,,,29,-158.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,37.53,101.83,3869.0,-71.0,,,29,-163.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,39.33,97.74,3874.0,-64.0,,,29,-166.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,39.31,97.72,3945.0,-64.0,,,29,-161.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,39.34,97.79,4005.0,-64.0,,,29,-166.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,39.33,97.74,4040.0,-64.0,,,29,-168.0,,original,,,,,,
"Chikaraishi and Naraoka, 2006",Liu,Gunma Prefecture,36.47,138.87,70.0,-60.0,,,29,-166.0,,original,,,,,,
"Chikaraishi and Naraoka, 2006",Liu,Gunma Prefecture,36.47,138.87,70.0,-60.0,,,29,-168.0,,original,,,,,,
"Chikaraishi and Naraoka, 2006",Liu,Gunma Prefecture,36.47,138.87,70.0,-60.0,,,29,-167.0,,original,,,,,,
Daniels et al 2017,McFarlin,N1,68.64,-149.6,730.0,-149.0,6.0,2018.0,29,-255.0,,original,,,,,,
Daniels et al 2017,McFarlin,N2,68.64,-149.62,732.0,-149.0,6.0,2018.0,29,-253.0,,original,,,,,,
Daniels et al 2017,McFarlin,S6,68.63,-149.64,736.0,-150.0,6.0,2018.0,29,-261.0,,original,,,,,,
Daniels et al 2017,McFarlin,ISWAMP,68.61,-149.6,741.0,-150.0,6.0,2018.0,29,-273.0,,original,,,,,,
Daniels et al 2017,McFarlin,S7,68.63,-149.64,742.0,-150.0,6.0,2018.0,29,-261.0,,original,,,,,,
Daniels et al 2017,McFarlin,I7,68.6,-149.59,748.0,-150.0,6.0,2018.0,29,-269.0,,original,,,,,,
Daniels et al 2017,McFarlin,I8,68.61,-149.58,748.0,-150.0,6.0,2018.0,29,-260.0,,original,,,,,,
Daniels et al 2017,McFarlin,FOG4,68.68,-149.07,760.0,-151.0,6.0,2018.0,29,-264.0,,original,,,,,,
Daniels et al 2017,McFarlin,FOG1,68.68,-149.08,773.0,-151.0,6.0,2018.0,29,-257.0,,original,,,,,,
Daniels et al 2017,McFarlin,FOG2,68.68,-149.09,776.0,-151.0,6.0,2018.0,29,-259.0,,original,,,,,,
Daniels et al 2017,McFarlin,E1,68.63,-149.55,777.0,-150.0,6.0,2018.0,29,-259.0,,original,,,,,,
Daniels et al 2017,McFarlin,I3,68.58,-149.58,778.0,-151.0,6.0,2018.0,29,-265.0,,original,,,,,,
Daniels et al 2017,McFarlin,I4,68.58,-149.58,778.0,-151.0,6.0,2018.0,29,-264.0,,original,,,,,,
Daniels et al 2017,McFarlin,I5,68.59,-149.59,778.0,-151.0,6.0,2018.0,29,-268.0,,original,,,,,,
Daniels et al 2017,McFarlin,I1,68.57,-149.59,792.5,-151.0,6.0,2018.0,29,-260.0,,original,,,,,,
Daniels et al 2017,McFarlin,E6,68.64,-149.44,794.0,-151.0,6.0,2018.0,29,-266.0,,original,,,,,,
Daniels et al 2017,McFarlin,I6,68.6,-149.59,800.0,-151.0,6.0,2018.0,29,-265.0,,original,,,,,,
Daniels et al 2017,McFarlin,E5,68.64,-149.46,800.0,-151.0,7.0,2018.0,29,-261.0,,original,,,,,,
Daniels et al 2017,McFarlin,I6HW,68.58,-149.62,808.0,-151.0,6.0,2018.0,29,-263.0,,original,,,,,,
Douglas et al 2012,McFarlin,El Golfete,15.72,-88.89,0.0,-24.0,4.0,2018.0,29,-151.1,1.0,original,,,,,,
Douglas et al 2012,McFarlin,Izabal Rio Oscuro,15.38,-89.33,4.0,-25.0,4.0,2018.0,29,-154.0,1.0,original,,,,,,
Douglas et al 2012,McFarlin,Izabal Centro,15.52,-89.15,4.0,-24.0,4.0,2018.0,29,-165.2,,original,,,,,,
Douglas et al 2012,McFarlin,Dzitya,21.07,-89.69,5.0,-18.0,4.0,2018.0,29,-128.5,1.0,original,,,,,,
Douglas et al 2012,McFarlin,Yaalchak [e],20.6,-89.71,6.0,-20.0,7.0,2018.0,29,-142.9,1.0,original,,,,,,
Douglas et al 2012,McFarlin,Chichancanab,19.88,-88.77,10.0,-20.0,8.0,2018.0,29,-128.5,2.0,original,,,,,,
Douglas et al 2012,McFarlin,Ticul,20.35,-89.5,10.0,-20.0,8.0,2018.0,29,-143.0,1.0,original,,,,,,
Douglas et al 2012,McFarlin,Chumayel,20.49,-89.19,13.0,-18.0,6.0,2018.0,29,-110.7,1.0,original,,,,,,
Douglas et al 2012,McFarlin,Canana,20.49,-89.17,13.0,-18.0,5.0,2018.0,29,-137.7,1.0,original,,,,,,
Douglas et al 2012,McFarlin,Xoche [e],20.66,-89.37,16.0,-18.0,5.0,2018.0,29,-153.0,1.0,original,,,,,,
Douglas et al 2012,McFarlin,Hobonil,20.0,-89.03,44.0,-21.0,8.0,2018.0,29,-126.5,1.0,original,,,,,,
Douglas et al 2012,McFarlin,Cepeda Peraza,20.16,-89.24,50.0,-21.0,8.0,2018.0,29,-136.7,1.0,original,,,,,,
Douglas et al 2012,McFarlin,La Barca,15.12,-87.94,56.0,-24.0,4.0,2018.0,29,-155.3,1.0,original,,,,,,
Douglas et al 2012,McFarlin,Puente Cienega,15.74,-89.07,75.0,-25.0,4.0,2018.0,29,-155.0,2.0,original,,,,,,
Douglas et al 2012,McFarlin,Naco,15.41,-88.14,97.0,-25.0,4.0,2018.0,29,-148.3,1.0,original,,,,,,
Douglas et al 2012,McFarlin,Salpeten,16.98,-89.68,105.0,-25.0,7.0,2018.0,29,-144.0,1.0,original,,,,,,
Douglas et al 2012,McFarlin,Peten Itza,16.93,-89.89,109.0,-25.0,7.0,2018.0,29,-159.5,4.0,original,,,,,,
Douglas et al 2012,McFarlin,Cuerpo Uno [e],17.49,-90.39,115.0,-26.0,8.0,2018.0,29,-147.9,1.0,original,,,,,,
Douglas et al 2012,McFarlin,Sacpuy,16.99,-90.05,123.0,-26.0,7.0,2018.0,29,-144.2,1.0,original,,,,,,
Douglas et al 2012,McFarlin,Yaxha,17.07,-89.41,130.0,-25.0,7.0,2018.0,29,-142.9,3.0,original,,,,,,
Douglas et al 2012,McFarlin,Quexil,16.92,-89.82,133.0,-26.0,6.0,2018.0,29,-141.7,1.0,original,,,,,,
Douglas et al 2012,McFarlin,La Corona [e],17.52,-90.37,151.0,-26.0,8.0,2018.0,29,-148.0,1.0,original,,,,,,
Douglas et al 2012,McFarlin,El Juleque,16.91,-89.77,158.0,-26.0,6.0,2018.0,29,-137.6,1.0,original,,,,,,
Douglas et al 2012,McFarlin,Macanche,16.97,-89.64,169.0,-26.0,7.0,2018.0,29,-139.2,3.0,original,,,,,,
Douglas et al 2012,McFarlin,La Entrada,15.1,-88.71,426.0,-31.0,2.0,2018.0,29,-147.9,2.0,original,,,,,,
