Reference,Compilation,Location,Latitude (°N),Longitude (°E),Elevation (m),δ²H n-C29 (‰ VSMOW),δ²H n-C29 SD (±‰),Sample Type,Plant Species or Type,Functional Type,δ²H Precipitation (‰ VSMOW),δ²H Precipitation SD (±‰),Apparent Fractionation ε (‰),MAP (mm/yr),MAT (°C),Vegetation Zone,Notes,DOI,Data Source,Origin,Audit Flags
Daniels et al 2017,McFarlin,I8,68.61,-149.58,748.0,-260.0,,Lake sediment,,,-150.0,6.0,-129.4,,,,,,,User compilation,OK
Daniels et al 2017,McFarlin,S7,68.63,-149.64,742.0,-261.0,,Lake sediment,,,-150.0,6.0,-130.6,,,,,,,User compilation,OK
Daniels et al 2017,McFarlin,N2,68.64,-149.62,732.0,-253.0,,Lake sediment,,,-149.0,6.0,-122.2,,,,,,,User compilation,OK
Daniels et al 2017,McFarlin,FOG1,68.68,-149.08,773.0,-257.0,,Lake sediment,,,-151.0,6.0,-124.9,,,,,,,User compilation,OK
Daniels et al. 2017,Manual extraction,"I1, Toolik area, Alaska",68.569,-149.588,792.5,-260.0,,Lake sediment,Arctic tundra,Tundra,-166.0,6.0,-112.7,,,Arctic tundra,,10.1016/j.gca.2017.06.028,Manual extraction,Both,OK
Daniels et al. 2017,Manual extraction,"I3, Toolik area, Alaska",68.575,-149.581,778.0,-265.0,,Lake sediment,Arctic tundra,Tundra,-166.0,6.0,-118.7,,,Arctic tundra,,10.1016/j.gca.2017.06.028,Manual extraction,Both,OK
Daniels et al. 2017,Manual extraction,"I7, Toolik area, Alaska",68.601,-149.593,748.0,-269.0,,Lake sediment,Arctic tundra,Tundra,-166.0,6.0,-123.5,,,Arctic tundra,,10.1016/j.gca.2017.06.028,Manual extraction,Both,OK
Daniels et al. 2017,Manual extraction,"ISWAMP, Toolik area, Alaska",68.611,-149.597,741.0,-273.0,,Lake sediment,Arctic tundra,Tundra,-166.0,6.0,-128.3,,,Arctic tundra,Most depleted in Toolik set,10.1016/j.gca.2017.06.028,Manual extraction,Both,OK
Daniels et al. 2017,Manual extraction,"E1, Toolik area, Alaska",68.626,-149.554,777.0,-259.0,,Lake sediment,Arctic tundra,Tundra,-166.0,6.0,-111.5,,,Arctic tundra,,10.1016/j.gca.2017.06.028,Manual extraction,Both,OK
Daniels et al. 2017,Manual extraction,"N1, Toolik area, Alaska",68.64,-149.604,730.0,-255.0,,Lake sediment,Arctic tundra,Tundra,-166.0,6.0,-106.7,,,Arctic tundra,,10.1016/j.gca.2017.06.028,Manual extraction,Both,OK
