Reference,Compilation,Location,Latitude (°N),Longitude (°E),Elevation (m),δ²H n-C29 (‰ VSMOW),δ²H n-C29 SD (±‰),Sample Type,Plant Species or Type,Functional Type,δ²H Precipitation (‰ VSMOW),δ²H Precipitation SD (±‰),Apparent Fractionation ε (‰),MAP (mm/yr),MAT (°C),Vegetation Zone,Notes,DOI,Data Source,Origin,Audit Flags
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Central Tibet, drainage: Yangtze",35.291066666666666,93.27016666666668,4568.0,-199.0,2.475,Soil,,soil,-74.939,,-134.1,,-3.56,Central Tibetan Plateau,Drainage: Yangtze,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Central Tibet, drainage: Yangtze",35.4681,93.6043,4498.0,-174.0,2.021,Soil,,soil,-72.567,,-109.4,,-2.95,Central Tibetan Plateau,Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Central Tibet, drainage: Yangtze",35.470283333333334,93.64006666666668,4497.0,-187.0,2.475,Soil,,soil,-72.337,,-123.6,,-3.05,Central Tibetan Plateau,Drainage: Yangtze,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Central Tibet, drainage: Yangtze",35.51555,93.8661,4605.0,-169.0,2.475,Soil,,soil,-70.493,,-106.0,,-3.66,Central Tibetan Plateau,Drainage: Yangtze,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Central Tibet, drainage: Yangtze",35.5677,94.008,4655.0,-163.0,2.021,Soil,,soil,-68.85,,-101.1,,-4.03,Central Tibetan Plateau,Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Himalaya, drainage: Brahmaputra",35.6422,94.0686,4750.0,-173.0,2.021,Soil,,soil,-66.407,,-114.2,,-4.76,Himalayan,Drainage: Brahmaputra; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Central Tibet, drainage: Ob",35.6968,94.0555,4556.0,-167.0,2.021,Soil,,soil,-66.107,,-108.0,,-3.96,Central Tibetan Plateau,Drainage: Ob; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Central Tibet, drainage: Ob",35.7194,94.1258,4446.0,-182.0,2.475,Soil,,soil,-67.161,,-123.1,,-2.52,Central Tibetan Plateau,Drainage: Ob,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",36.5478,100.6908,3193.0,-149.0,2.475,Soil,,soil,-53.332,,-101.1,,5.97,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",36.6331,100.1164,3193.0,-172.0,2.475,Soil,,soil,-54.431,,-124.3,,6.05,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",36.6539,100.2711,3193.0,-155.0,2.475,Soil,,soil,-53.698,,-107.1,,6.1,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",36.9017,99.6336,3193.0,-162.0,2.475,Soil,,soil,-53.32,,-114.8,,6.63,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.1383,100.3456,3193.0,-156.0,2.475,Soil,,soil,-48.737,,-112.8,,7.25,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.1875,100.0772,3093.0,-165.0,2.475,Soil,,soil,-49.376,,-121.6,,7.36,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.1875,100.0772,3193.0,-158.0,2.475,Lake sediment,,lake sed,-49.376,,-114.3,,7.36,Northeast Tibetan Plateau,Lake sediment - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.1875,100.0772,3193.0,-149.0,2.475,Soil,,soil,-49.376,,-104.8,,7.36,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.2,101.53,2840.0,-148.0,2.021,Soil,,soil,-95.232,,-58.3,,8.85,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,NOTE: ε outside typical range (-58‰)
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.2262,102.8335,2819.0,-167.0,2.021,Soil,,soil,-95.304,,-79.2,,10.14,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.2357,101.5087,2925.0,-160.0,2.021,Soil,,soil,-95.375,,-71.4,,8.94,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.2714,101.4152,3058.0,-152.0,2.021,Soil,,soil,-94.058,,-64.0,,7.95,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,NOTE: ε outside typical range (-64‰)
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.2935,101.4141,3203.0,-155.0,2.021,Soil,,soil,-93.506,,-67.8,,7.3,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,NOTE: ε outside typical range (-68‰)
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,drainage: Ob,37.3019,96.8857,2812.0,-126.0,2.475,Lake sediment,,lake sed,-167.461,,49.8,,9.3,Lacustrine,Lake sediment - flagged in model analysis; Drainage: Ob; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,REVIEW: ε anomalous (50‰)
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.3235,101.4152,3454.0,-159.0,2.021,Soil,,soil,-92.53,,-73.2,,6.31,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.3265,101.4058,3713.0,-169.0,2.021,Soil,,soil,-92.402,,-84.4,,6.13,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.371,101.4059,3537.0,-160.0,2.021,Soil,,soil,-43.069,,-122.2,,6.7,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,drainage: Ob,37.463,95.577,3174.0,-156.0,2.475,Lake sediment,,lake sed,-85.387,4.0,-77.2,,8.15,Lacustrine,Lake sediment - flagged in model analysis; Drainage: Ob; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Both,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,drainage: Ob,37.4697,95.4956,3163.0,-139.0,2.475,Lake sediment,,lake sed,-81.261,,-62.8,,8.21,Lacustrine,Lake sediment - flagged in model analysis; Drainage: Ob; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,NOTE: ε outside typical range (-63‰)
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.6316,102.37035,2959.0,-163.0,2.021,Soil,,soil,-89.471,,-80.8,,9.79,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.639,102.3716,2818.0,-170.0,2.021,Soil,,soil,-89.913,,-88.0,,10.35,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.8759,101.9279,2847.0,-157.0,2.021,Soil,,soil,-36.371,,-125.2,,10.94,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.8791,101.9232,2945.0,-161.0,2.021,Soil,,soil,-36.238,,-129.5,,10.74,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",38.233,99.9916,2815.0,-163.0,2.021,Soil,,soil,-41.665,,-126.6,,11.34,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",38.233,99.9916,2904.0,-167.0,2.021,Soil,,soil,-41.665,,-130.8,,11.34,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",38.2467,99.9576,2859.0,-155.0,2.021,Soil,,soil,-41.33,,-118.6,,11.0,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",38.2762,99.8765,2969.0,-156.0,2.021,Soil,,soil,-41.28,,-119.7,,10.95,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",38.3295,99.7389,3084.0,-146.0,2.021,Soil,,soil,-41.137,,-109.4,,10.72,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",38.3804,99.688,3137.0,-163.0,2.021,Soil,,soil,-40.537,,-127.6,,10.8,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",38.4764,99.5819,3398.0,-161.0,2.021,Soil,,soil,-38.582,,-127.3,,9.52,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",38.5744,99.4192,3231.0,-151.0,2.021,Soil,,soil,-38.91,,-116.6,,10.79,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",38.7838,98.7447,4126.0,-153.0,2.021,Soil,,soil,-37.416,,-120.1,,9.47,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",38.793,98.7629,4033.0,-154.0,2.021,Soil,,soil,-37.326,,-121.2,,9.61,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",38.7968,98.8812,3671.0,-163.0,2.021,Soil,,soil,-37.36,,-130.5,,10.35,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",38.8231,98.7986,3906.0,-153.0,2.021,Soil,,soil,-37.16,,-120.3,,10.25,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",38.8492,99.035,3774.0,-143.0,2.021,Soil,,soil,-35.641,,-111.3,,10.49,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",39.1363,98.1334,3177.0,-163.0,2.021,Soil,,soil,-35.476,,-132.2,,12.97,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Both,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",39.2726,97.7403,3874.0,-166.0,2.021,Soil,,soil,-32.698,,-137.8,,11.63,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",39.3322,97.8362,3076.0,-162.0,2.021,Soil,,soil,-32.992,,-133.4,,13.92,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Both,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",39.339,97.7912,3221.0,-163.0,2.021,Soil,,soil,-32.784,,-134.6,,13.58,Northeast Tibetan Plateau,Outside primary study area - flagged in model analysis; Drainage: Yangtze; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,OK
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,Tibetan Plateau / South Asia,,,4718.0,-240.0,2.475,Lake sediment,,lake sed,,,,,,Lacustrine,Lake sediment - flagged in model analysis; Drainage: X; Ref: Xia et al. [2008]; C from Mügler et al. [2008]; D from Aichner et al. [2010],10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Computer v6,REVIEW: missing coordinates; Missing: d2H_precip
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,Tibetan Plateau / South Asia,,,2600.0,-178.0,2.475,Soil,,soil,-80.0,,-106.5,,,,Flagged in model analysis; Drainage: X,10.1029/2025PA005167,Hren & Brandon 2026 Zenodo: 17209981,Both,REVIEW: missing coordinates
"Huang et al., 2016",Liu,Yichun,68.52,129.53,272.0,-209.0,,Soil,,,-88.0,,-132.7,,,,,,,User compilation,OK
Jaeschke et al. 2018,Manual extraction,"Jimma zone VI, Ethiopia (Forest)",7.593,36.8544,1769.0,-127.0,,Topsoil,Forest vegetation,Forest,,,,,,Afromontane,,10.1016/j.orggeochem.2018.06.006,Manual extraction,Computer v6,Missing: d2H_precip
"Jaeschke et al., 2018",Ladd,I-Forest,7.4452,36.8768,2650.0,-130.0,,Marine surface sediment,,,-0.422700005,,-129.6,,,,,,,User compilation,OK
"Jaeschke et al., 2018",Ladd,I-Cropland,7.4452,36.8768,2650.0,-131.0,,Marine surface sediment,,,-0.422700005,,-130.6,,,,,,,User compilation,OK
"Jaeschke et al., 2018",Ladd,II-Cropland,7.4527,36.8704,2545.0,-133.0,,Marine surface sediment,,,-1.059381222,,-132.1,,,,,,,User compilation,OK
"Jaeschke et al., 2018",Ladd,III-Cropland,7.4609,36.8687,2402.0,-130.0,,Marine surface sediment,,,-1.199190527,,-129.0,,,,,,,User compilation,OK
"Jaeschke et al., 2018",Ladd,III-Grassland,7.4609,36.8687,2402.0,-129.0,,Marine surface sediment,,,-1.199190527,,-128.0,,,,,,,User compilation,OK
"Jaeschke et al., 2018",Ladd,IV-Cropland,7.4782,36.8814,2099.0,-127.0,,Marine surface sediment,,,0.672390959,,-127.6,,,,,,,User compilation,OK
"Jaeschke et al., 2018",Ladd,IV-Forest,7.4782,36.8814,2099.0,-132.0,,Marine surface sediment,,,0.672390959,,-132.6,,,,,,,User compilation,OK
"Jaeschke et al., 2018",Ladd,IV-Grassland,7.4782,36.8814,2099.0,-130.0,,Marine surface sediment,,,0.672390959,,-130.6,,,,,,,User compilation,OK
"Jaeschke et al., 2018",Ladd,VI-Cropland,7.593,36.8544,1769.0,-131.0,,Marine surface sediment,,,6.281825171,,-136.4,,,,,,,User compilation,OK
"Jaeschke et al., 2018",Ladd,VI-Forest,7.593,36.8544,1769.0,-134.0,,Marine surface sediment,,,6.281825171,,-139.4,,,,,,,User compilation,OK
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1320.0,-180.0,,Lake sediment,,,-58.0,,-129.5,,,,,,,User compilation,OK
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1375.0,-169.0,,Lake sediment,,,-59.0,,-116.9,,,,,,,User compilation,OK
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1470.0,-184.0,,Lake sediment,,,-60.0,,-131.9,,,,,,,User compilation,OK
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1550.0,-183.0,,Lake sediment,,,-61.0,,-129.9,,,,,,,User compilation,OK
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1610.0,-192.0,,Lake sediment,,,-62.0,,-138.6,,,,,,,User compilation,OK
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1645.0,-181.0,,Lake sediment,,,-62.0,,-126.9,,,,,,,User compilation,OK
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1800.0,-202.0,,Lake sediment,,,-64.0,,-147.4,,,,,,,User compilation,OK
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1915.0,-188.0,,Lake sediment,,,-66.0,,-130.6,,,,,,,User compilation,OK
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1973.0,-201.0,,Lake sediment,,,-66.0,,-144.5,,,,,,,User compilation,OK
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2115.0,-185.0,,Lake sediment,,,-68.0,,-125.5,,,,,,,User compilation,OK
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2160.0,-214.0,,Lake sediment,,,-69.0,,-155.7,,,,,,,User compilation,OK
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2220.0,-203.0,,Lake sediment,,,-70.0,,-143.0,,,,,,,User compilation,OK
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2350.0,-189.0,,Lake sediment,,,-72.0,,-126.1,,,,,,,User compilation,OK
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2960.0,-198.0,,Lake sediment,,,-81.0,,-127.3,,,,,,,User compilation,OK
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,3188.0,-220.0,,Lake sediment,,,-85.0,,-147.5,,,,,,,User compilation,OK
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,3518.0,-224.0,,Lake sediment,,,-92.0,,-145.4,,,,,,,User compilation,OK
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,3596.0,-219.0,,Lake sediment,,,-93.0,,-138.9,,,,,,,User compilation,OK
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,3676.0,-241.0,,Lake sediment,,,-95.0,,-161.3,,,,,,,User compilation,OK
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,3767.0,-237.0,,Lake sediment,,,-97.0,,-155.0,,,,,,,User compilation,OK
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,3819.0,-240.0,,Lake sediment,,,-98.0,,-157.4,,,,,,,User compilation,OK
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1180.0,-178.0,,Lake sediment,,,-56.0,,-129.2,,,,,,,User compilation,OK
