row_index,cluster_id,action,source,location,latitude,longitude,d2H_wax,d2H_wax_err,data_source
297,26,KEEP,"Jia et al., 2008",Mt Gongga,30.0,102.0,-195.0,,original
300,26,REMOVE,"Jia et al., 2008",Mt Gongga,30.0,102.0,-195.0,,original
304,26,REMOVE,"Jia et al., 2008",Mt Gongga,30.0,102.0,-192.0,,original
306,26,REMOVE,"Jia et al., 2008",Mt Gongga,30.0,102.0,-193.0,,original
308,26,REMOVE,"Jia et al., 2008",Mt Gongga,30.0,102.0,-202.0,,original
309,26,REMOVE,"Jia et al., 2008",Mt Gongga,30.0,102.0,-195.0,,original
311,26,REMOVE,"Jia et al., 2008",Mt Gongga,30.0,102.0,-201.0,,original
312,26,REMOVE,"Jia et al., 2008",Mt Gongga,30.0,102.0,-199.0,,original
316,26,REMOVE,"Jia et al., 2008",Mt Gongga,30.0,102.0,-203.0,,original
317,26,REMOVE,"Jia et al., 2008",Mt Gongga,30.0,102.0,-195.0,,original
319,26,REMOVE,"Jia et al., 2008",Mt Gongga,30.0,102.0,-197.0,,original
320,26,REMOVE,"Jia et al., 2008",Mt Gongga,30.0,102.0,-200.0,,original
321,26,REMOVE,"Jia et al., 2008",Mt Gongga,30.0,102.0,-200.0,,original
322,26,REMOVE,"Jia et al., 2008",Mt Gongga,30.0,102.0,-199.0,,original
323,26,REMOVE,"Jia et al., 2008",Mt Gongga,30.0,102.0,-199.0,,original
327,26,REMOVE,"Jia et al., 2008",Mt Gongga,30.0,102.0,-193.0,,original
328,26,REMOVE,"Jia et al., 2008",Mt Gongga,30.0,102.0,-196.0,,original
329,26,REMOVE,"Jia et al., 2008",Mt Gongga,30.0,102.0,-197.0,,original
330,26,REMOVE,"Jia et al., 2008",Mt Gongga,30.0,102.0,-198.0,,original
331,26,REMOVE,"Jia et al., 2008",Mt Gongga,30.0,102.0,-196.0,,original
335,26,REMOVE,"Jia et al., 2008",Mt Gongga,30.0,102.0,-195.0,,original
337,26,REMOVE,"Jia et al., 2008",Mt Gongga,30.0,102.0,-200.0,,original
310,27,KEEP,"Jia et al., 2008",Mt Gongga,30.0,102.0,-188.0,,original
318,27,REMOVE,"Jia et al., 2008",Mt Gongga,30.0,102.0,-189.0,,original
313,28,KEEP,"Jia et al., 2008",Mt Gongga,30.0,102.0,-206.0,,original
324,28,REMOVE,"Jia et al., 2008",Mt Gongga,30.0,102.0,-206.0,,original
325,28,REMOVE,"Jia et al., 2008",Mt Gongga,30.0,102.0,-206.0,,original
326,28,REMOVE,"Jia et al., 2008",Mt Gongga,30.0,102.0,-207.0,,original
332,28,REMOVE,"Jia et al., 2008",Mt Gongga,30.0,102.0,-207.0,,original
333,28,REMOVE,"Jia et al., 2008",Mt Gongga,30.0,102.0,-207.0,,original
334,28,REMOVE,"Jia et al., 2008",Mt Gongga,30.0,102.0,-207.0,,original
336,29,KEEP,"Jia et al., 2008",Mt Gongga,30.0,102.0,-220.0,,original
339,29,REMOVE,"Jia et al., 2008",Mt Gongga,30.0,102.0,-219.0,,original
340,30,KEEP,"Jia et al., 2008",Mt Gongga,30.0,102.0,-241.0,,original
342,30,REMOVE,"Jia et al., 2008",Mt Gongga,30.0,102.0,-240.0,,original
365,31,KEEP,Leider et al 2013,Lago di Monticchio,40.93,15.6,-170.0,0.7,original
579,31,REMOVE,Sachse et al 2004,LPM,40.93,15.61,-169.0,2.0,original
446,32,KEEP,"Lu et al., 2020",JY-04,42.418,126.676,-194.0,,original
447,32,REMOVE,"Lu et al., 2020",JY-05,42.409,126.683,-195.0,,original
451,33,KEEP,"Lu et al., 2020",FS-01,42.228,127.403,-196.0,,original
452,33,REMOVE,"Lu et al., 2020",FS-03,42.228,127.403,-197.0,,original
454,34,KEEP,"Lu et al., 2020",CB-50,42.05,127.685,-190.0,,original
455,34,REMOVE,"Lu et al., 2020",CB-02,42.05,127.685,-191.0,,original
456,35,KEEP,"Lu et al., 2020",ET-02,43.64,112.298,-177.0,,original
457,35,REMOVE,"Lu et al., 2020",ET-03,43.64,112.297,-178.0,,original
458,36,KEEP,"Lu et al., 2020",ABQ-03,43.989,114.843,-174.0,,original
459,36,REMOVE,"Lu et al., 2020",ABQ-05,43.989,114.843,-172.0,,original
463,37,KEEP,"Lu et al., 2020",SNQ-02,43.843,113.79,-184.0,,original
464,37,REMOVE,"Lu et al., 2020",SNQ-01,43.843,113.789,-183.0,,original
465,38,KEEP,"Lu et al., 2020",XM-02,43.676,116.643,-188.0,,original
466,38,REMOVE,"Lu et al., 2020",XM-01,43.677,116.643,-189.0,,original
488,39,KEEP,Mugler et al 2008,HZM,50.12,6.88,-198.0,1.0,original
575,39,REMOVE,Sachse et al 2004,HZM,50.12,6.88,-198.0,1.0,original
489,40,KEEP,Mugler et al 2008,Tibet_ave (NC),30.64,90.6,-246.0,36.4,original
750,40,REMOVE,Xia et al 2008,NC,30.64,90.6,-246.0,9.0,original
497,41,KEEP,"Pautler et al., 2014","Christie Mine, Dominion Creek",63.65,-138.63,-275.0,,original
498,41,REMOVE,"Pautler et al., 2014","Christie Mine, Dominion Creek",63.65,-138.63,-275.0,,original
501,41,REMOVE,"Pautler et al., 2014","Christie Mine, Dominion Creek",63.65,-138.63,-274.0,,original
502,42,KEEP,"Pautler et al., 2014","Tatlow Camp, Quartz Creek",63.82,-139.02,-259.0,,original
503,42,REMOVE,"Pautler et al., 2014","Tatlow Camp, Quartz Creek",63.82,-139.02,-270.0,,original
507,42,REMOVE,"Pautler et al., 2014","Tatlow Camp, Quartz Creek",63.82,-139.02,-261.0,,original
