"model","n_draws","n_obs","n_scales","scale_weight_max_sum_error_before_normalization","legacy_intercept_share_pct","legacy_spatial_share_component_sum_pct","fitted_intercept_share_pct","fitted_slope_share_pct","fitted_spatial_share_component_sum_pct","fitted_spatial_share_realized_pct","fitted_covariance_twice_mean","fitted_covariance_share_of_realized_spatial_pct","fitted_var_intercept_mean","fitted_var_slope_mean","fitted_var_spatial_realized_mean","fitted_var_residual_mean","fitted_identity_max_abs_error","legacy_identity_max_abs_error"
"baseline_sp",12000,1128,9,1.80007516981107e-06,92.9315309136979,47.5838894450501,89.0395535347854,10.9604464652146,48.6518906168577,43.3713793861165,-0.0324869914848731,-23.7109130675093,0.150921878555319,0.0185779364862712,0.137012823556717,0.178893254359209,1.13797860024079e-15,1.0547118733939e-15
"baseline_env_sp",12000,1128,9,1.85657899998137e-06,93.9355399410396,53.4195477294029,90.6957927042073,9.30420729579271,54.2917531040152,49.3940328282276,-0.0366465793072671,-21.6932652705907,0.186449919811973,0.0191273338320361,0.168930674336742,0.173075565413339,1.49880108324396e-15,1.22124532708767e-15
"baseline_veg_sp",12000,1128,9,1.7443218299773e-06,91.3963376700042,41.6989470891103,86.1391199908017,13.8608800091983,43.145861042275,38.7817175436987,-0.0219052303271478,-19.7929212484183,0.114200896604648,0.018376376783846,0.110672043061346,0.174699647701556,2.67841304690819e-15,3.42781358853017e-15
"full_sp",16000,1128,9,1.93069849996341e-06,88.7357691972054,59.5723664810761,86.0767479994487,13.9232520005513,60.3028990670713,50.3025446361592,-0.085042391323736,-50.0802681771191,0.219370520561678,0.035484043138943,0.169812172376885,0.16776950188064,2.41473507855972e-15,2.35922392732846e-15
"full_interact_sp",16000,1128,9,1.80662550985922e-06,92.5185959344882,46.6195961695608,87.7519911171071,12.2480088828929,47.9379794731984,43.6722395689703,-0.0247829998742028,-18.7615143062823,0.137663463516574,0.0192144167048091,0.132094880347181,0.170373877039458,3.05311331771918e-15,3.02535774210355e-15
"elevation_only_sp",12000,1128,9,1.83247999996361e-06,92.1438719221743,50.4916058413573,88.1774910294413,11.8225089705587,51.5910706687315,45.2170227646878,-0.0419376656598112,-29.1197660903107,0.163970922103803,0.0219846093923872,0.144017865836379,0.174485779540401,1.55431223447522e-15,1.47104550762833e-15
"elevation_c4_sp",12000,1128,9,1.79578327286212e-06,92.1248323313761,50.7089204330491,88.2165475000313,11.7834524999687,51.7919494305594,45.3938113551894,-0.0424525221992362,-29.237308466226,0.165540426442034,0.0221119257903806,0.145199830033178,0.174667186413281,1.2490009027033e-15,1.2490009027033e-15
"c4_only_sp",12000,1128,9,1.83584500013101e-06,92.6826900460983,47.7970077130239,88.5801341688911,11.4198658311089,48.9275977801812,43.4695599746119,-0.0337875225994241,-24.5847054790035,0.151667456264101,0.019553165252372,0.137433098917049,0.178726298595408,1.12410081243297e-15,1.16573417585641e-15
"elevation_c4_interact_sp",16000,1128,9,1.82538786175357e-06,92.715753295256,50.3928879156816,88.904828343812,11.095171656188,51.4417947677403,45.413418047582,-0.0398542444433644,-27.3371708714308,0.165044690367648,0.0205972971849161,0.145787743109199,0.175235754739939,1.11022302462516e-15,1.38777878078145e-15
