"obs_id","include_in_calibration","exclusion_reason","archive_class","archive_assignment","review_flag"
"obs_0111",TRUE,"","soil","source review",""
"obs_0112",TRUE,"","marine sediment","source review",""
"obs_0113",TRUE,"","marine sediment","source review",""
"obs_0114",TRUE,"","fluvial sediment","source review",""
"obs_0115",TRUE,"","marine sediment","source review",""
"obs_0116",TRUE,"","fluvial sediment","source review",""
"obs_0117",TRUE,"","marine sediment","source review",""
"obs_0118",TRUE,"","fluvial sediment","source review",""
"obs_0119",TRUE,"","marine sediment","source review",""
"obs_0120",TRUE,"","marine sediment","source review",""
"obs_0121",TRUE,"","soil","source review",""
"obs_0122",TRUE,"","marine sediment","source review",""
"obs_0123",TRUE,"","fluvial sediment","source review",""
"obs_0124",TRUE,"","soil","source review",""
"obs_0125",TRUE,"","marine sediment","source review",""
"obs_0126",TRUE,"","soil","source review",""
"obs_0127",TRUE,"","marine sediment","source review",""
"obs_0128",TRUE,"","fluvial sediment","source review",""
"obs_0129",TRUE,"","fluvial sediment","source review",""
"obs_0130",TRUE,"","marine sediment","source review",""
"obs_0131",TRUE,"","fluvial sediment","source review",""
"obs_0132",TRUE,"","marine sediment","source review",""
"obs_0133",TRUE,"","fluvial sediment","source review",""
"obs_0134",TRUE,"","marine sediment","source review",""
"obs_0135",TRUE,"","soil","source review",""
"obs_0136",TRUE,"","soil","source review",""
"obs_0137",TRUE,"","fluvial sediment","source review",""
"obs_0138",TRUE,"","marine sediment","source review",""
"obs_0139",TRUE,"","marine sediment","source review",""
"obs_0140",TRUE,"","soil","source review",""
"obs_0141",TRUE,"","fluvial sediment","source review",""
"obs_0142",TRUE,"","fluvial sediment","source review",""
"obs_0143",TRUE,"","marine sediment","source review",""
"obs_0144",TRUE,"","marine sediment","source review",""
"obs_0145",TRUE,"","marine sediment","source review",""
"obs_0146",TRUE,"","fluvial sediment","source review",""
"obs_0147",TRUE,"","marine sediment","source review",""
"obs_0148",TRUE,"","marine sediment","source review",""
"obs_0149",TRUE,"","marine sediment","source review",""
"obs_0150",TRUE,"","fluvial sediment","source review",""
"obs_0151",TRUE,"","marine sediment","source review",""
"obs_0152",TRUE,"","fluvial sediment","source review",""
"obs_0153",TRUE,"","fluvial sediment","source review",""
"obs_0154",TRUE,"","fluvial sediment","source review",""
"obs_0155",TRUE,"","fluvial sediment","source review",""
"obs_0156",TRUE,"","marine sediment","source review",""
"obs_0157",TRUE,"","marine sediment","source review",""
"obs_0158",TRUE,"","lake sediment","source review",""
"obs_0159",TRUE,"","lake sediment","source review",""
"obs_0160",TRUE,"","lake sediment","source review",""
"obs_0161",TRUE,"","lake sediment","source review",""
"obs_0162",TRUE,"","fluvial sediment","source review",""
"obs_0163",TRUE,"","fluvial sediment","source review",""
"obs_0164",TRUE,"","fluvial sediment","source review",""
"obs_0165",TRUE,"","fluvial sediment","source review",""
"obs_0166",TRUE,"","fluvial sediment","source review",""
"obs_0167",TRUE,"","fluvial sediment","source review",""
"obs_0168",TRUE,"","fluvial sediment","source review",""
"obs_0169",TRUE,"","fluvial sediment","source review",""
"obs_0170",TRUE,"","fluvial sediment","source review",""
"obs_0171",TRUE,"","fluvial sediment","source review",""
"obs_0172",TRUE,"","fluvial sediment","source review",""
"obs_0173",TRUE,"","fluvial sediment","source review",""
"obs_0174",TRUE,"","fluvial sediment","source review",""
"obs_0175",TRUE,"","fluvial sediment","source review",""
"obs_0176",TRUE,"","fluvial sediment","source review",""
"obs_0177",TRUE,"","fluvial sediment","source review",""
"obs_0178",TRUE,"","fluvial sediment","source review",""
"obs_0179",TRUE,"","fluvial sediment","source review",""
"obs_0180",TRUE,"","fluvial sediment","source review",""
"obs_0181",TRUE,"","soil","source review",""
"obs_0182",TRUE,"","soil","source review",""
"obs_0183",TRUE,"","soil","source review",""
"obs_0184",TRUE,"","soil","source review",""
"obs_0185",TRUE,"","soil","source review",""
"obs_0186",TRUE,"","soil","source review",""
"obs_0187",TRUE,"","soil","source review",""
"obs_0188",TRUE,"","soil","source review",""
"obs_0189",TRUE,"","soil","source review",""
"obs_0190",TRUE,"","soil","source review",""
"obs_0191",TRUE,"","soil","source review",""
"obs_0192",TRUE,"","soil","source review",""
"obs_0193",TRUE,"","soil","source review",""
"obs_0194",TRUE,"","soil","source review",""
"obs_0195",TRUE,"","soil","source review",""
"obs_0196",TRUE,"","soil","source review",""
"obs_0197",TRUE,"","soil","source review",""
"obs_0198",TRUE,"","soil","source review",""
"obs_0199",TRUE,"","soil","source review",""
"obs_0200",TRUE,"","soil","source review",""
"obs_0201",TRUE,"","soil","source review",""
"obs_0202",TRUE,"","soil","source review",""
"obs_0203",TRUE,"","soil","source review",""
"obs_0204",TRUE,"","soil","source review",""
"obs_0205",TRUE,"","soil","source review",""
"obs_0206",TRUE,"","soil","source review",""
"obs_0207",TRUE,"","soil","source review",""
"obs_0208",TRUE,"","soil","source review",""
"obs_0209",TRUE,"","soil","source review",""
"obs_0210",TRUE,"","soil","source review",""
"obs_0211",TRUE,"","soil","source review",""
"obs_0212",TRUE,"","soil","source review",""
"obs_0213",TRUE,"","soil","source review",""
"obs_0214",TRUE,"","soil","source review",""
"obs_0215",TRUE,"","soil","source review",""
"obs_0216",TRUE,"","soil","source review",""
"obs_0217",TRUE,"","soil","source review",""
"obs_0218",TRUE,"","soil","source review",""
"obs_0219",TRUE,"","soil","source review",""
"obs_0220",TRUE,"","soil","source review",""
"obs_0221",TRUE,"","soil","source review",""
"obs_0222",TRUE,"","soil","source review",""
"obs_0223",TRUE,"","soil","source review",""
"obs_0224",TRUE,"","soil","source review",""
"obs_0225",TRUE,"","soil","source review",""
"obs_0226",TRUE,"","soil","source review",""
"obs_0227",TRUE,"","soil","source review",""
"obs_0228",TRUE,"","soil","source review",""
"obs_0229",TRUE,"","soil","source review",""
"obs_0230",TRUE,"","soil","source review",""
"obs_0231",TRUE,"","soil","source review",""
"obs_0232",TRUE,"","soil","source review",""
"obs_0233",TRUE,"","soil","source review",""
"obs_0234",TRUE,"","soil","source review",""
"obs_0235",TRUE,"","soil","source review",""
"obs_0236",TRUE,"","soil","source review",""
"obs_0237",TRUE,"","soil","source review",""
"obs_0238",TRUE,"","soil","source review",""
"obs_0239",TRUE,"","soil","source review",""
"obs_0240",TRUE,"","soil","source review",""
"obs_0241",TRUE,"","soil","source review",""
"obs_0242",TRUE,"","soil","source review",""
"obs_0243",TRUE,"","soil","source review",""
"obs_0244",TRUE,"","soil","source review",""
"obs_0245",TRUE,"","soil","source review","soil versus fluvial classification remains uncertain"
"obs_0246",TRUE,"","soil","source review",""
"obs_0247",TRUE,"","soil","source review",""
"obs_0248",TRUE,"","soil","source review",""
"obs_0249",TRUE,"","soil","source review",""
"obs_0250",TRUE,"","soil","source review",""
"obs_0251",TRUE,"","soil","source review",""
"obs_0252",TRUE,"","soil","source review",""
"obs_0253",TRUE,"","soil","source review",""
"obs_0254",TRUE,"","soil","source review",""
"obs_0255",TRUE,"","soil","source review",""
"obs_0256",TRUE,"","soil","source review",""
"obs_0257",TRUE,"","soil","source review",""
"obs_0258",TRUE,"","soil","source review",""
"obs_0259",TRUE,"","soil","source review",""
"obs_0260",TRUE,"","soil","source review",""
"obs_0261",TRUE,"","soil","source review",""
"obs_0262",TRUE,"","soil","source review",""
"obs_0263",TRUE,"","soil","source review",""
"obs_0264",TRUE,"","soil","source review",""
"obs_0265",TRUE,"","soil","source review",""
"obs_0266",TRUE,"","soil","source review",""
"obs_0267",TRUE,"","soil","source review",""
"obs_0268",TRUE,"","soil","source review",""
"obs_0269",TRUE,"","soil","source review",""
"obs_0270",TRUE,"","soil","source review","soil versus fluvial classification remains uncertain"
"obs_0271",TRUE,"","soil","source review",""
"obs_0272",TRUE,"","soil","source review",""
"obs_0273",TRUE,"","soil","source review",""
"obs_0274",TRUE,"","soil","source review",""
"obs_0275",TRUE,"","soil","source review",""
"obs_0276",TRUE,"","soil","source review",""
"obs_0277",TRUE,"","soil","source review",""
"obs_0278",TRUE,"","soil","source review",""
"obs_0279",TRUE,"","soil","source review",""
"obs_0280",TRUE,"","soil","source review",""
"obs_0281",TRUE,"","soil","source review",""
"obs_0282",TRUE,"","soil","source review",""
"obs_0283",TRUE,"","soil","source review",""
"obs_0284",TRUE,"","soil","source review",""
"obs_0285",TRUE,"","soil","source review",""
"obs_0286",TRUE,"","soil","source review",""
"obs_0287",TRUE,"","soil","source review",""
"obs_0288",TRUE,"","soil","source review",""
"obs_0289",TRUE,"","soil","source review",""
"obs_0290",TRUE,"","soil","source review",""
"obs_0291",TRUE,"","soil","source review",""
"obs_0292",TRUE,"","soil","source review","soil versus fluvial classification remains uncertain"
"obs_0293",TRUE,"","soil","source review",""
"obs_0294",TRUE,"","soil","source review",""
"obs_0295",TRUE,"","soil","source review",""
"obs_0296",TRUE,"","soil","source review",""
"obs_0297",TRUE,"","soil","source review",""
"obs_0298",TRUE,"","soil","source review",""
"obs_0299",TRUE,"","soil","source review",""
