source,compilation,location,latitude,longitude,elevation,d2H_precip,d2H_precip_err,d2H_precip_year,chain,d2H_wax,d2H_wax_err,data_source,DOI,audit_flags,sample_type
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Central Tibet, drainage: Yangtze",34.776783333333334,92.90396666666666,4684.0,-80.819,,,29,-178.0,2.475,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Central Tibet, drainage: Yangtze",35.15221666666667,93.0402,4698.0,-75.961,,,29,-183.0,2.475,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Central Tibet, drainage: Yangtze",35.1699,93.0354,4677.0,-76.023,,,29,-167.0,2.021,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Central Tibet, drainage: Yangtze",35.2536,94.3293,4080.0,-74.767,,,29,-146.0,2.021,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Central Tibet, drainage: Yangtze",35.291066666666666,93.27016666666668,4568.0,-74.939,,,29,-199.0,2.475,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Central Tibet, drainage: Yangtze",35.4681,93.6043,4498.0,-72.567,,,29,-174.0,2.021,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Central Tibet, drainage: Yangtze",35.470283333333334,93.64006666666668,4497.0,-72.337,,,29,-187.0,2.475,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Central Tibet, drainage: Yangtze",35.51555,93.8661,4605.0,-70.493,,,29,-169.0,2.475,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Central Tibet, drainage: Yangtze",35.5677,94.008,4655.0,-68.85,,,29,-163.0,2.021,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Himalaya, drainage: Brahmaputra",35.6422,94.0686,4750.0,-66.407,,,29,-173.0,2.021,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Central Tibet, drainage: Ob",35.6968,94.0555,4556.0,-66.107,,,29,-167.0,2.021,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Central Tibet, drainage: Ob",35.7194,94.1258,4446.0,-67.161,,,29,-182.0,2.475,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",36.5478,100.6908,3193.0,-53.332,,,29,-149.0,2.475,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",36.6331,100.1164,3193.0,-54.431,,,29,-172.0,2.475,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",36.6539,100.2711,3193.0,-53.698,,,29,-155.0,2.475,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",36.9017,99.6336,3193.0,-53.32,,,29,-162.0,2.475,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.1383,100.3456,3193.0,-48.737,,,29,-156.0,2.475,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.1875,100.0772,3093.0,-49.376,,,29,-165.0,2.475,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.1875,100.0772,3193.0,-49.376,,,29,-158.0,2.475,Computer v6,10.1029/2025PA005167,OK,Lake sediment
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.1875,100.0772,3193.0,-49.376,,,29,-149.0,2.475,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.2,101.53,2840.0,-95.232,,,29,-148.0,2.021,Computer v6,10.1029/2025PA005167,NOTE: ε outside typical range (-58‰),Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.2262,102.8335,2819.0,-95.304,,,29,-167.0,2.021,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.2357,101.5087,2925.0,-95.375,,,29,-160.0,2.021,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.2714,101.4152,3058.0,-94.058,,,29,-152.0,2.021,Computer v6,10.1029/2025PA005167,NOTE: ε outside typical range (-64‰),Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.2935,101.4141,3203.0,-93.506,,,29,-155.0,2.021,Computer v6,10.1029/2025PA005167,NOTE: ε outside typical range (-68‰),Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,drainage: Ob,37.3019,96.8857,2812.0,-167.461,,,29,-126.0,2.475,Computer v6,10.1029/2025PA005167,REVIEW: ε anomalous (50‰),Lake sediment
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.3235,101.4152,3454.0,-92.53,,,29,-159.0,2.021,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.3265,101.4058,3713.0,-92.402,,,29,-169.0,2.021,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.371,101.4059,3537.0,-43.069,,,29,-160.0,2.021,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,drainage: Ob,37.463,95.577,3174.0,-85.387,4.0,,29,-156.0,2.475,Both,10.1029/2025PA005167,OK,Lake sediment
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.6316,102.37035,2959.0,-89.471,,,29,-163.0,2.021,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.639,102.3716,2818.0,-89.913,,,29,-170.0,2.021,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.8759,101.9279,2847.0,-36.371,,,29,-157.0,2.021,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",37.8791,101.9232,2945.0,-36.238,,,29,-161.0,2.021,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",38.233,99.9916,2815.0,-41.665,,,29,-163.0,2.021,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",38.233,99.9916,2904.0,-41.665,,,29,-167.0,2.021,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",38.2467,99.9576,2859.0,-41.33,,,29,-155.0,2.021,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",38.2762,99.8765,2969.0,-41.28,,,29,-156.0,2.021,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",38.3295,99.7389,3084.0,-41.137,,,29,-146.0,2.021,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",38.3804,99.688,3137.0,-40.537,,,29,-163.0,2.021,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",38.4764,99.5819,3398.0,-38.582,,,29,-161.0,2.021,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",38.5744,99.4192,3231.0,-38.91,,,29,-151.0,2.021,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",38.7838,98.7447,4126.0,-37.416,,,29,-153.0,2.021,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",38.793,98.7629,4033.0,-37.326,,,29,-154.0,2.021,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",38.7968,98.8812,3671.0,-37.36,,,29,-163.0,2.021,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",38.8231,98.7986,3906.0,-37.16,,,29,-153.0,2.021,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",38.8492,99.035,3774.0,-35.641,,,29,-143.0,2.021,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",39.1363,98.1334,3177.0,-35.476,,,29,-163.0,2.021,Both,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",39.2726,97.7403,3874.0,-32.698,,,29,-166.0,2.021,Computer v6,10.1029/2025PA005167,OK,Soil
Hren & Brandon 2026,Hren & Brandon 2026 Zenodo: 17209981,"Northeast Tibet, drainage: Yangtze",39.3322,97.8362,3076.0,-32.992,,,29,-162.0,2.021,Both,10.1029/2025PA005167,OK,Soil
"Huang et al., 2016",Liu,Yichun,68.52,129.53,272.0,-88.0,,,29,-209.0,,User compilation,,OK,Soil
Jaeschke et al. 2018,Manual extraction,"Jimma zone VI, Ethiopia (Forest)",7.593,36.8544,1769.0,,,,29,-127.0,,Computer v6,10.1016/j.orggeochem.2018.06.006,Missing: d2H_precip,Topsoil
"Jaeschke et al., 2018",Ladd,I-Forest,7.4452,36.8768,2650.0,-0.422700005,,,29,-130.0,,User compilation,,OK,Marine surface sediment
"Jaeschke et al., 2018",Ladd,IV-Cropland,7.4782,36.8814,2099.0,0.672390959,,,29,-127.0,,User compilation,,OK,Marine surface sediment
"Jaeschke et al., 2018",Ladd,IV-Forest,7.4782,36.8814,2099.0,0.672390959,,,29,-132.0,,User compilation,,OK,Marine surface sediment
"Jaeschke et al., 2018",Ladd,VI-Cropland,7.593,36.8544,1769.0,6.281825171,,,29,-131.0,,User compilation,,OK,Marine surface sediment
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1320.0,-58.0,,,29,-180.0,,User compilation,,OK,Lake sediment
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1375.0,-59.0,,,29,-169.0,,User compilation,,OK,Lake sediment
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1470.0,-60.0,,,29,-184.0,,User compilation,,OK,Lake sediment
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1550.0,-61.0,,,29,-183.0,,User compilation,,OK,Lake sediment
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1610.0,-62.0,,,29,-192.0,,User compilation,,OK,Lake sediment
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1645.0,-62.0,,,29,-181.0,,User compilation,,OK,Lake sediment
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1800.0,-64.0,,,29,-202.0,,User compilation,,OK,Lake sediment
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1915.0,-66.0,,,29,-188.0,,User compilation,,OK,Lake sediment
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1973.0,-66.0,,,29,-201.0,,User compilation,,OK,Lake sediment
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2115.0,-68.0,,,29,-185.0,,User compilation,,OK,Lake sediment
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2160.0,-69.0,,,29,-214.0,,User compilation,,OK,Lake sediment
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2220.0,-70.0,,,29,-203.0,,User compilation,,OK,Lake sediment
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2960.0,-81.0,,,29,-198.0,,User compilation,,OK,Lake sediment
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,3188.0,-85.0,,,29,-220.0,,User compilation,,OK,Lake sediment
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,3518.0,-92.0,,,29,-224.0,,User compilation,,OK,Lake sediment
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,3676.0,-95.0,,,29,-241.0,,User compilation,,OK,Lake sediment
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,3767.0,-97.0,,,29,-237.0,,User compilation,,OK,Lake sediment
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1180.0,-56.0,,,29,-178.0,,User compilation,,OK,Lake sediment
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1700.0,-63.0,,,29,-193.0,,User compilation,,OK,Lake sediment
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,1220.0,-57.0,,,29,-195.0,,User compilation,,OK,Lake sediment
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2846.0,-79.0,,,29,-196.0,,User compilation,,OK,Lake sediment
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2420.0,-73.0,,,29,-197.0,,User compilation,,OK,Lake sediment
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2005.0,-67.0,,,29,-199.0,,User compilation,,OK,Lake sediment
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2540.0,-75.0,,,29,-200.0,,User compilation,,OK,Lake sediment
"Jia et al., 2008",Liu,Mt Gongga,30.0,102.0,2085.0,-68.0,,,29,-206.0,,User compilation,,OK,Lake sediment
"Ladd 2021 compilation (Aichner et al., 2010)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Tibetan plateau, Asia",25.92,100.12,1967.0,-73.0,2.0,,29,-172.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Aichner et al., 2010)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Tibetan plateau, Asia",29.83,94.46,4132.0,-127.0,,,29,-232.0,,Computer v6,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Aichner et al., 2010)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Tibetan plateau, Asia",34.02,97.22,4541.0,-111.0,4.0,,29,-180.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Aichner et al., 2010)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Tibetan plateau, Asia",34.16,95.98,4701.0,-113.0,5.0,,29,-188.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Aichner et al., 2010)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Tibetan plateau, Asia",34.68,98.06,4233.0,-97.0,4.0,,29,-169.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Aichner et al., 2010)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Tibetan plateau, Asia",35.23,98.65,4095.0,-75.0,5.0,,29,-162.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Aichner et al., 2010)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Qaidam Basin, Asia",37.04,100.58,3205.0,-57.0,6.0,,29,-150.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2011)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Kunlun, Asia",36.2,81.2,3200.0,-55.0,,,29,-190.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2011)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Kunlun, Asia",36.22,81.22,3000.0,-52.0,,,29,-183.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2011)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Kunlun, Asia",36.22,81.23,2900.0,-50.0,,,29,-186.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2011)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Kunlun, Asia",36.23,81.67,2450.0,-44.0,,,29,-189.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2011)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Kunlun, Asia",36.55,77.05,4650.0,-117.0,,,29,-194.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2011)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Kunlun, Asia",36.55,77.13,4450.0,-112.0,,,29,-190.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2011)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Kunlun, Asia",36.63,80.75,1900.0,-35.0,,,29,-190.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2011)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Kunlun, Asia",36.65,77.12,3836.0,-104.0,,,29,-183.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",35.47,103.57,3100.0,-57.0,,,29,-214.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",35.73,103.98,3640.0,-66.0,,,29,-217.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",35.74,103.96,3590.0,-65.0,,,29,-235.0,,Both,10.1029/2020JG005891,NOTE: ε outside typical range (-182‰),Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",35.77,103.95,3430.0,-63.0,,,29,-210.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",35.78,103.98,2720.0,-52.0,,,29,-241.0,,Both,10.1029/2020JG005891,NOTE: ε outside typical range (-199‰),Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",35.78,104.04,2350.0,-46.0,,,29,-212.0,,Both,10.1029/2020JG005891,NOTE: ε outside typical range (-174‰),Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",35.79,104.0,2550.0,-49.0,,,29,-206.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",35.83,104.08,2060.0,-42.0,,,29,-215.0,,Both,10.1029/2020JG005891,NOTE: ε outside typical range (-181‰),Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.53,101.83,3835.0,-71.0,,,29,-158.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.54,101.83,3727.0,-70.0,,,29,-170.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.56,101.85,3495.0,-66.0,,,29,-181.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.61,101.83,3250.0,-63.0,,,29,-171.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.63,101.83,3168.0,-62.0,,,29,-166.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.64,101.85,3035.0,-60.0,,,29,-163.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.64,101.85,3058.0,-60.0,,,29,-176.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.65,101.86,2967.0,-59.0,,,29,-157.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.66,101.86,2885.0,-57.0,,,29,-148.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.71,101.92,2637.0,-54.0,,,29,-160.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.73,101.93,2568.0,-53.0,,,29,-156.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.75,101.95,2514.0,-52.0,,,29,-142.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.8,102.0,2363.0,-50.0,,,29,-147.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.88,102.07,2184.0,-47.0,,,29,-164.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.88,102.07,2184.0,-47.0,,,29,-167.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.89,102.12,2143.0,-47.0,,,29,-169.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.89,102.17,2098.0,-47.0,,,29,-161.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.92,102.22,2059.0,-46.0,,,29,-157.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",37.94,102.3,1924.0,-42.0,,,29,-155.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",38.0,102.35,1793.0,-42.0,,,29,-174.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",38.02,102.38,1755.0,-42.0,,,29,-159.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",39.22,97.978,2779.0,-50.0,,,29,-166.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",39.31,97.72,3945.0,-67.0,,,29,-161.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",39.33,97.74,3420.0,-59.0,,,29,-158.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Bai et al., 2014)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Qilian, Asia",39.34,97.79,3754.0,-65.0,,,29,-169.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Douglas et al., 2012)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Santa Lucia, North America",14.12,-87.09,1405.0,-43.0,,,29,-92.7,,Computer v6,10.1029/2020JG005891,NOTE: ε outside typical range (-52‰),Sediment/soil
"Ladd 2021 compilation (Douglas et al., 2012)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Guangolo, North America",14.26,-87.24,829.0,-35.0,,,29,-131.2,,Computer v6,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Douglas et al., 2012)",ETH Zurich: doi:10.3929/ethz-b-000412154,"El Chile, North America",14.35,-86.85,1380.0,-43.0,,,29,-118.5,,Computer v6,10.1029/2020JG005891,OK,Sediment/soil
