source,compilation,location,latitude,longitude,elevation,d2H_precip,d2H_precip_err,d2H_precip_year,chain,d2H_wax,d2H_wax_err,data_source,DOI,audit_flags,sample_type
Douglas et al 2012,McFarlin,Gaungolo,14.26,-87.24,829.0,-35.0,1.0,,29,-165.8,1.0,User compilation,,OK,Soil
Douglas et al 2012,McFarlin,El Chile,14.35,-86.85,1380.0,-43.0,4.0,,29,-158.1,4.0,User compilation,,OK,Soil
Douglas et al 2012,McFarlin,Comayagua,14.45,-87.65,563.0,-32.0,2.0,,29,-166.8,1.0,User compilation,,OK,Soil
Douglas et al 2012,McFarlin,Rio Jalan,14.45,-86.81,765.0,-33.0,2.0,,29,-157.9,2.0,User compilation,,OK,Soil
Douglas et al 2012,McFarlin,Rio Rosario,14.48,-86.98,891.0,-36.0,2.0,,29,-153.7,2.0,User compilation,,OK,Soil
Douglas et al 2012,McFarlin,Taulabe,14.71,-87.97,557.0,-32.0,2.0,,29,-152.7,2.0,User compilation,,OK,Soil
Douglas et al 2012,McFarlin,Copan,14.84,-89.15,613.0,-34.0,1.0,,29,-156.4,1.0,User compilation,,OK,Soil
Douglas et al 2012,McFarlin,Rio Blanco,14.89,-89.03,707.0,-36.0,1.0,,29,-160.5,1.0,User compilation,,OK,Soil
Douglas et al 2012,McFarlin,Pena Blanca,14.94,-88.03,655.0,-33.0,1.0,,29,-160.0,1.0,User compilation,,OK,Soil
Douglas et al 2012,McFarlin,La Entrada,15.1,-88.71,426.0,-31.0,2.0,,29,-147.9,2.0,User compilation,,OK,Soil
Douglas et al 2012,McFarlin,La Barca,15.12,-87.94,56.0,-24.0,4.0,,29,-155.3,1.0,User compilation,,OK,Soil
Douglas et al 2012,McFarlin,Izabal Rio Oscuro,15.38,-89.33,4.0,-25.0,4.0,,29,-154.0,1.0,User compilation,,OK,Soil
Douglas et al 2012,McFarlin,Naco,15.41,-88.14,97.0,-25.0,4.0,,29,-148.3,1.0,User compilation,,OK,Soil
Douglas et al 2012,McFarlin,Izabal Centro,15.52,-89.15,4.0,-24.0,4.0,,29,-165.2,,User compilation,,OK,Soil
Douglas et al 2012,McFarlin,El Golfete,15.72,-88.89,0.0,-24.0,4.0,,29,-151.1,1.0,User compilation,,OK,Soil
Douglas et al 2012,McFarlin,Puente Cienega,15.74,-89.07,75.0,-25.0,4.0,,29,-155.0,2.0,User compilation,,OK,Soil
Douglas et al 2012,McFarlin,Peten Itza,16.93,-89.89,109.0,-25.0,7.0,,29,-159.5,4.0,User compilation,,OK,Soil
Douglas et al 2012,McFarlin,Yaxha,17.07,-89.41,130.0,-25.0,7.0,,29,-142.9,3.0,User compilation,,OK,Soil
Douglas et al 2012,McFarlin,Cuerpo Uno [e],17.49,-90.39,115.0,-26.0,8.0,,29,-147.9,1.0,User compilation,,OK,Soil
Douglas et al 2012,McFarlin,La Corona [e],17.52,-90.37,151.0,-26.0,8.0,,29,-148.0,1.0,User compilation,,OK,Soil
Douglas et al 2012,McFarlin,Chichancanab,19.88,-88.77,10.0,-20.0,8.0,,29,-128.5,2.0,User compilation,,OK,Soil
Douglas et al 2012,McFarlin,Hobonil,20.0,-89.03,44.0,-21.0,8.0,,29,-126.5,1.0,User compilation,,OK,Soil
Douglas et al 2012,McFarlin,Cepeda Peraza,20.16,-89.24,50.0,-21.0,8.0,,29,-136.7,1.0,User compilation,,OK,Soil
Douglas et al 2012,McFarlin,Ticul,20.35,-89.5,10.0,-20.0,8.0,,29,-143.0,1.0,User compilation,,OK,Soil
Douglas et al 2012,McFarlin,Canana,20.49,-89.17,13.0,-18.0,5.0,,29,-137.7,1.0,User compilation,,OK,Soil
Douglas et al 2012,McFarlin,Yaalchak [e],20.6,-89.71,6.0,-20.0,7.0,,29,-142.9,1.0,User compilation,,OK,Soil
Douglas et al 2012,McFarlin,Xoche [e],20.66,-89.37,16.0,-18.0,5.0,,29,-153.0,1.0,User compilation,,OK,Soil
Douglas et al 2012,McFarlin,Dzitya,21.07,-89.69,5.0,-18.0,4.0,,29,-128.5,1.0,User compilation,,OK,Soil
"Feng et al., 2019",Ladd,JS13,26.4786,100.4194,1246.0,-73.08368901,,,29,-202.0,,User compilation,,OK,Soil
"Feng et al., 2019",Ladd,JS2,26.487,100.323,2290.0,-79.00912049,,,29,-203.0,,User compilation,,OK,Soil
"Feng et al., 2019",Ladd,JS7,26.489,100.353,1794.0,-76.81151062,,,29,-177.0,,User compilation,,OK,Soil
"Feng et al., 2019",Ladd,JH1,26.54,99.958,2263.0,-82.67067436,,,29,-205.0,,User compilation,,OK,Soil
"Feng et al., 2019",Ladd,JH6,26.54,99.992,2701.0,-86.00246992,,,29,-209.0,,User compilation,,OK,Soil
"Feng et al., 2019",Ladd,JH3,26.555,99.968,2412.0,-83.49885263,,,29,-210.0,,User compilation,,OK,Soil
"Feng et al., 2019",Ladd,LJ4,26.635,99.836,2615.0,-87.32545894,,,29,-214.0,,User compilation,,OK,Soil
"Feng et al., 2019",Ladd,LJ14,26.637,99.752,3608.0,-94.63215983,,,29,-242.0,,User compilation,,OK,Soil
"Feng et al., 2019",Ladd,LJ3,26.64,99.85,2509.0,-86.49041781,,,29,-214.0,,User compilation,,OK,Soil
"Feng et al., 2019",Ladd,LJ11,26.658,99.783,3303.0,-89.65413298,,,29,-237.0,,User compilation,,OK,Soil
"Feng et al., 2019",Ladd,LJ10,26.659,99.788,3224.0,-89.07249616,,,29,-242.0,,User compilation,,OK,Soil
Freimuth et al. 2019,Manual extraction,"Adirondack lakes, NY, USA (12-lake mean)",44.0,-74.5,,,,,29,-188.0,6.0,Computer v6,10.1016/j.gca.2019.08.026,"Missing: elevation, d2H_precip",Lake sediment
Garcin et al. 2012,Manual extraction,"Ossa, Cameroon",3.7686,10.0049,17.0,-12.6,1.0,,29,-147.0,4.0,Both,10.1016/j.gca.2011.11.039,OK,Lake sediment
Garcin et al. 2012,Manual extraction,"Debundscha, Cameroon",4.1034,8.9805,70.0,-8.4,0.0,,29,-153.0,5.0,Both,10.1016/j.gca.2011.11.039,OK,Lake sediment
Garcin et al. 2012,Manual extraction,"Barombi Mbo, Cameroon",4.6544,9.4086,304.0,-15.8,3.0,,29,-164.0,1.0,Both,10.1016/j.gca.2011.11.039,OK,Lake sediment
Garcin et al. 2012,Manual extraction,"Baleng, Cameroon",5.5503,10.4211,1376.0,-19.8,9.0,,29,-150.0,1.0,Both,10.1016/j.gca.2011.11.039,OK,Lake sediment
Garcin et al. 2012,Manual extraction,"Assom, Cameroon",6.6245,12.9816,896.0,-14.9,8.0,,29,-154.0,3.0,Both,10.1016/j.gca.2011.11.039,OK,Lake sediment
Garcin et al. 2012,Manual extraction,"Tabere, Cameroon",7.1307,13.694,1161.0,-15.6,5.0,,29,-167.0,1.0,Both,10.1016/j.gca.2011.11.039,OK,Lake sediment
Garcin et al. 2012,Manual extraction,"Tizong, Cameroon",7.2533,13.5769,1155.0,-15.6,4.0,,29,-155.0,1.0,Both,10.1016/j.gca.2011.11.039,OK,Lake sediment
Garcin et al. 2012,Manual extraction,"Mamguiewa, Cameroon",8.3909,13.7089,322.0,-17.9,10.0,,29,-156.0,8.0,Both,10.1016/j.gca.2011.11.039,OK,Lake sediment
Garcin et al. 2012,Manual extraction,"Rhumsiki, Cameroon",10.5082,13.5838,1028.0,-26.0,5.0,,29,-167.0,3.0,Both,10.1016/j.gca.2011.11.039,OK,Lake sediment
Garcin et al. 2012,Manual extraction,"Mora, Cameroon",11.0547,14.1457,438.0,-27.6,3.0,,29,-170.0,3.0,Both,10.1016/j.gca.2011.11.039,OK,Lake sediment
"Garcin et al., 2012",Ladd,MANE,5.03,9.83,1911.0,-36.60037978,,,29,-184.83,,User compilation,,OK,Lake sediment
Gaviria-Lugo et al. 2023,Manual extraction,"Chile, humid zone (mean)",-38.0,-73.0,,,,,29,-185.0,,Computer v6,10.5194/bg-20-4433-2023,"Missing: elevation, d2H_precip",Soil/river sediment
Gaviria-Lugo et al. 2023,Manual extraction,"Chile, semiarid zone (mean)",-32.0,-71.0,,,,,29,-140.0,,Computer v6,10.5194/bg-20-4433-2023,"Missing: elevation, d2H_precip",Soil/river sediment
Gaviria-Lugo et al. 2023,Manual extraction,"Chile, hyperarid zone (mean)",-24.0,-70.0,,,,,29,-90.0,,Computer v6,10.5194/bg-20-4433-2023,"Missing: elevation, d2H_precip",Soil/river sediment
"Gaviria-Lugo et al., 2023",,Maullin B,-41.4787,-73.2756,,-50.0,1.5,,29,-185.2,0.7,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,Rio Maullin,-41.474,-73.2726,,-53.8,1.4,,29,-168.4,9.1,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,Maullin A,-41.474,-73.2726,,-50.0,1.5,,29,-173.9,7.9,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,GeoB7194-1_1-2 cm,-41.4175,-74.4337,,,,,29,-164.1,4.5,User compilation,,"Missing: elevation, d2H_precip",Soil
